r,l,t
-3.009266,9,0.199939
0.588177,1,0.20105
0.882265,1,0.214306
1.176354,1,0.218156
-0.082639,1,0.229287
-0.165278,1,0.231685
-0.247916,1,0.235831
-0.330555,1,0.236983
-1.198414,5,0.250608
-2.396829,1,0.26292
-3.595243,1,0.265324
-4.793658,1,0.268011
-0.346188,5,0.297731
-0.692376,1,0.301129
-1.038564,1,0.302465
-1.384752,1,0.305069
17.143146,13,0.381499
-0.48774,1,0.382363
-0.73161,1,0.385157
-0.97548,1,0.386047
22.343135,33,0.517418
-1.666835,1,0.527677
-2.500253,1,0.540667
-3.333671,1,0.541528
7.035476,25,0.674711
-1.385474,1,0.677309
-2.078211,1,0.692712
-2.770948,1,0.693628
-24.958918,21,0.80069
-0.158988,1,0.801483
-0.238482,1,0.804283
-0.317976,1,0.807705
-17.446423,17,0.876825
-2.411832,1,0.889894
-3.617748,1,0.900292
-4.823664,1,0.901603
10.14049,37,1.049372
1.409592,1,1.050177
2.114389,1,1.05132
2.819185,1,1.052664
-45.071714,29,1.230552
-0.024767,1,1.231338
-0.037151,1,1.233725
-0.049534,1,1.234486
-0.596692,9,1.282618
-1.193384,1,1.284474
-1.790076,1,1.285731
-2.386768,1,1.289311
27.289229,41,1.499942
-0.2,1,1.522785
-0.3,1,1.523573
-0.4,1,1.526649
3.857372,17,1.625023
-1.096427,1,1.62686
-1.644641,1,1.640774
-2.192854,1,1.641539
-17.914982,21,1.719536
1.63262,1,1.724872
2.44893,1,1.726143
3.26524,1,1.727968
0.502113,5,1.746565
1.004226,1,1.75313
1.506338,1,1.753869
2.008451,1,1.754652
23.481294,25,1.898807
-0.329003,1,1.899582
-0.493504,1,1.901589
-0.658005,1,1.912098
-8.620479,21,2.065073
-2.434989,1,2.074618
-3.652483,1,2.07717
-4.869977,1,2.077955
6.203134,25,2.1747
-0.450453,1,2.175474
-0.675679,1,2.176309
-0.900906,1,2.180008
-23.083601,13,2.257275
-1.204124,1,2.258057
-1.806186,1,2.259902
-2.408248,1,2.266372
-17.600598,5,2.297654
-0.071017,1,2.298427
-0.106525,1,2.308118
-0.142034,1,2.308902
13.63325,33,2.449081
-0.356496,1,2.44984
-0.534744,1,2.47208
-0.712992,1,2.485556
-11.926097,9,2.522788
-0.767108,1,2.524685
-1.150661,1,2.526646
-1.534215,1,2.529371
9.785796,17,2.600617
0.0,1,2.601381
0.0,1,2.602103
0.0,1,2.603381
-18.212587,5,2.626285
-1.884927,1,2.634548
-2.827391,1,2.645124
-3.769855,1,2.667764
-32.989889,41,2.867005
-0.2,1,2.868341
-0.3,1,2.879996
-0.4,1,2.890869
-7.748988,13,2.976082
0.556429,1,2.977419
0.834644,1,2.989807
1.112858,1,2.993126
-15.423164,25,3.075632
0.47325,1,3.077006
0.709875,1,3.077771
0.9465,1,3.078521
-39.950202,9,3.105373
-0.064026,1,3.107265
-0.096039,1,3.108017
-0.128052,1,3.108755
-38.097371,57,3.450933
-3.142126,1,3.451739
-4.713188,1,3.453195
-6.284251,1,3.454652
-5.898241,17,3.566327
-1.631848,1,3.567085
-2.447771,1,3.584705
-3.263695,1,3.585836
-11.748234,29,3.720738
-0.065895,1,3.730121
-0.098843,1,3.739229
-0.13179,1,3.748712
-10.443626,21,3.834568
0.680578,1,3.83538
1.020867,1,3.837049
1.361157,1,3.838922
-0.122523,5,3.858854
-0.245046,1,3.875073
-0.367569,1,3.876958
-0.490092,1,3.878068
-0.933005,5,3.92408
-1.86601,1,3.926282
-2.799015,1,3.931095
-3.73202,1,3.948721
-43.167234,37,4.151935
0.0,1,4.156358
0.0,1,4.157118
0.0,1,4.158228
6.339662,17,4.481875
-1.5475,1,4.485389
-2.32125,1,4.48615
-3.095,1,4.486907
20.858365,5,4.517775
3.67778,1,4.532315
5.516671,1,4.533637
7.355561,1,4.534396
-19.965063,25,4.66529
0.069814,1,4.666624
0.10472,1,4.66738
0.139627,1,4.669065
0.203521,5,4.683863
0.407042,1,4.68462
0.610563,1,4.694291
0.814085,1,4.695038
6.582791,5,4.736869
2.654518,1,4.7497
3.981777,1,4.75135
5.309036,1,4.761772
-23.638905,5,4.802158
0.0,1,4.825431
0.0,1,4.826905
0.0,1,4.848918
8.475631,5,4.874025
0.943649,1,4.880526
1.415473,1,4.8813
1.887297,1,4.882061
4.674871,13,4.942983
0.936218,1,4.944505
1.404327,1,4.945987
1.872436,1,4.946731
-12.129227,25,5.049028
-1.714601,1,5.049792
-2.571901,1,5.050967
-3.429202,1,5.052761
50.632677,33,5.209733
0.547836,1,5.210501
0.821755,1,5.233754
1.095673,1,5.23498
-14.16329,13,5.323282
-0.320352,1,5.335837
-0.480528,1,5.347349
-0.640704,1,5.348468
-6.345164,9,5.374296
2.331097,1,5.375073
3.496646,1,5.37845
4.662195,1,5.379569
3.981371,9,5.426048
0.300295,1,5.426819
0.450442,1,5.428499
0.60059,1,5.439306
-0.1,13,5.46781
-0.2,1,5.468574
-0.3,1,5.47059
-0.4,1,5.472635
-11.742713,5,5.487722
3.69318,1,5.48848
5.53977,1,5.489583
7.38636,1,5.490868
-6.824596,25,5.623682
-1.087947,1,5.625459
-1.631921,1,5.626772
-2.175895,1,5.644014
-8.128751,17,5.745246
-2.31076,1,5.746051
-3.46614,1,5.759233
-4.62152,1,5.759993
-32.544393,29,5.926369
-0.760834,1,5.927134
-1.14125,1,5.927876
-1.521667,1,5.92863
-0.453199,1,5.929386
-0.906398,1,5.930176
-1.359597,1,5.951932
-1.812796,1,5.953073
26.025726,25,6.036454
-1.304055,1,6.037225
-1.956083,1,6.038659
-2.608111,1,6.050117
24.336026,9,6.082884
-0.003292,1,6.098737
-0.004937,1,6.099488
-0.006583,1,6.100248
16.555139,5,6.13438
-0.842294,1,6.144601
-1.263441,1,6.147702
-1.684588,1,6.149008
-32.694264,21,6.235589
-0.587284,1,6.237068
-0.880926,1,6.247496
-1.174568,1,6.248255
3.963137,9,6.30868
1.037636,1,6.309453
1.556454,1,6.311095
2.075273,1,6.323764
47.365696,41,6.588246
0.271433,1,6.610861
0.40715,1,6.612151
0.542867,1,6.616444
-3.814607,21,6.715771
-1.394584,1,6.71874
-2.091876,1,6.728301
-2.789167,1,6.729068
19.711804,13,6.796964
0.203903,1,6.80566
0.305854,1,6.811347
0.407806,1,6.821505
4.45747,29,7.034767
0.716344,1,7.041501
1.074516,1,7.042604
1.432688,1,7.052215
10.20522,29,7.140175
-0.327583,1,7.140947
-0.491375,1,7.141742
-0.655166,1,7.154557
18.850388,21,7.23552
-1.145841,1,7.248035
-1.718762,1,7.248805
-2.291683,1,7.252646
-27.544501,9,7.337665
-0.877169,1,7.349852
-1.315753,1,7.360273
-1.754337,1,7.365441
-10.744952,25,7.484539
-0.2,1,7.492845
-0.3,1,7.504127
-0.4,1,7.504878
6.869508,5,7.52827
-0.994499,1,7.541486
-1.491749,1,7.542249
-1.988999,1,7.543357
9.685297,5,7.558154
0.009543,1,7.55889
0.014315,1,7.561778
0.019086,1,7.579655
3.777037,17,7.673611
-0.417131,1,7.674399
-0.625697,1,7.675146
-0.834262,1,7.678028
9.869188,13,7.750201
0.121142,1,7.751718
0.181713,1,7.753045
0.242284,1,7.754132
21.824381,9,7.79167
0.495429,1,7.792432
0.743144,1,7.795231
0.990859,1,7.797223
1.096848,29,7.982486
0.738093,1,7.986022
1.107139,1,7.986756
1.476185,1,7.987514
-0.257609,5,8.003424
-0.515218,1,8.025815
-0.772828,1,8.027683
-1.030437,1,8.030083
7.169973,5,8.073915
1.867694,1,8.074786
2.801541,1,8.080183
3.735388,1,8.098123
0.547411,1,8.099226
1.094821,1,8.100696
1.642232,1,8.101439
2.189642,1,8.106202
13.281259,21,8.219227
0.612778,1,8.221103
0.919167,1,8.221864
1.225556,1,8.223681
-8.217672,13,8.295057
-1.632673,1,8.295842
-2.44901,1,8.311143
-3.265346,1,8.312626
-34.426193,29,8.438682
-1.772284,1,8.443525
-2.658426,1,8.445713
-3.544569,1,8.448277
-13.146478,13,8.537833
0.022267,1,8.538988
0.0334,1,8.544852
0.044533,1,8.562128
41.317907,37,8.778763
3.093206,1,8.779539
4.639809,1,8.801952
6.186413,1,8.809099
-5.491867,9,8.838451
-0.2,1,8.849776
-0.3,1,8.85164
-0.4,1,8.85325
-11.713517,5,8.914486
0.147691,1,8.915616
0.221536,1,8.916722
0.295382,1,8.917474
6.819074,21,9.01422
-1.748833,1,9.016087
-2.62325,1,9.01687
-3.497666,1,9.017975
14.742469,17,9.155197
1.740922,1,9.167596
2.611383,1,9.169852
3.481844,1,9.170589
15.222718,21,9.242082
-0.2,1,9.243404
-0.3,1,9.249611
-0.4,1,9.250355
0.099486,25,9.354825
0.896503,1,9.355594
1.344754,1,9.357387
1.793005,1,9.366755
-1.373044,1,9.367879
-2.746089,1,9.369148
-4.119133,1,9.370785
-5.492177,1,9.373661
18.569008,69,9.7013
0.0,1,9.702045
0.0,1,9.703664
0.0,1,9.707105
0.879452,5,9.737545
1.758904,1,9.74019
2.638356,1,9.740941
3.517808,1,9.741692
-10.694252,5,9.761806
1.441554,1,9.764244
2.162331,1,9.764996
2.883108,1,9.765748
-14.819505,13,9.825678
-1.526134,1,9.831593
-2.2892,1,9.83431
-3.052267,1,9.836295
-0.346188,5,9.856449
-0.692376,1,9.857777
-1.038564,1,9.858527
-1.384752,1,9.875055
4.696656,9,9.93812
0.287253,1,9.941116
0.43088,1,9.943107
0.574507,1,9.962197
0.885806,25,10.12474
1.645835,1,10.125495
2.468753,1,10.126613
3.291671,1,10.128074
-21.105257,25,10.249685
0.094213,1,10.266973
0.14132,1,10.270004
0.188427,1,10.290539
