r,l,t
41.520591,41,0.105888
-0.885831,1,0.124064
-9.894689,40,0.16684
1.526804,19,0.19607
6.113521,23,0.228254
-0.663811,1,0.245852
13.171729,18,0.274586
-1.384942,2,0.29303
9.103475,28,0.328247
-17.457251,35,0.368205
-0.524431,2,0.386421
-1.530956,5,0.40644
-0.78668,1,0.424218
9.453948,21,0.455597
24.493419,39,0.498144
-2.380772,3,0.517239
0.231297,3,0.536211
1.509133,1,0.553915
-0.640156,1,0.57143
-0.848972,3,0.590304
-3.449888,31,0.626856
0.09661,1,0.644572
-0.930799,4,0.665303
-6.377039,34,0.752143
0.238635,1,0.769956
0.342674,1,0.787626
-0.408544,3,0.806555
-0.464777,1,0.824288
1.148758,29,0.859909
-0.981979,1,0.877588
-0.863441,7,0.899205
-1.096928,3,0.918089
5.325127,31,0.95508
-0.544757,1,0.972636
0.043759,1,0.990078
-0.41756,1,1.007661
3.973796,35,1.048372
10.722046,32,1.086116
0.448949,5,1.106659
-0.544042,3,1.125434
-1.724066,2,1.143784
1.151397,4,1.163531
-0.458118,4,1.183126
-6.811115,31,1.219474
24.686228,41,1.263355
-3.427805,34,1.301528
-10.314052,42,1.344501
-11.177618,20,1.374877
-0.127608,1,1.392591
-2.999666,19,1.421897
-6.160056,40,1.464988
7.284236,31,1.502844
-1.44102,1,1.52059
-1.001569,3,1.539354
-1.597005,22,1.570455
0.227292,1,1.588518
-0.709196,1,1.606207
2.541888,39,1.647434
0.466766,25,1.680875
0.049027,1,1.698974
-9.236967,37,1.739238
1.310818,5,1.759578
-0.775048,2,1.778291
-4.783504,34,1.816592
0.347619,1,1.834268
9.224447,21,1.864866
-0.244223,19,1.895245
-0.532241,1,1.913069
-0.300503,2,1.931333
-0.107282,1,1.949064
-1.923994,3,1.967968
-1.629816,3,1.986583
9.309311,36,2.026383
0.424187,1,2.044007
0.721011,1,2.061611
-0.477267,1,2.07959
2.758503,41,2.124285
0.204283,1,2.141875
-3.923773,37,2.182679
-11.302464,33,2.221555
4.166597,23,2.253509
-38.678253,46,2.299584
-0.44212,3,2.319138
-12.672104,35,2.358332
-6.20441,26,2.392383
-2.652792,23,2.424606
0.354927,2,2.442949
0.021063,20,2.47334
0.632421,2,2.491824
-2.49445,24,2.524877
-15.115097,30,2.561701
-0.524431,2,2.579997
0.442009,2,2.598523
0.588055,1,2.616165
0.21625,23,2.64833
-25.348635,39,2.690582
-2.487741,3,2.709707
-0.688846,1,2.727234
-1.684168,2,2.745434
0.441237,1,2.763209
0.441107,4,2.78273
1.13518,28,2.817381
0.09661,1,2.835124
1.636688,1,2.85275
-16.568908,33,2.890922
-0.433323,2,2.908948
0.324485,4,2.928196
0.852911,4,2.948262
0.255486,3,2.967069
5.124551,30,3.003565
0.780217,1,3.021239
0.47338,2,3.039714
-1.02425,1,3.057294
-1.593578,30,3.093423
0.345648,1,3.111291
-0.243472,1,3.128942
-0.413177,2,3.146906
-17.575198,40,3.188294
6.699053,40,3.229691
0.033034,4,3.249262
-0.556548,1,3.266667
0.103895,5,3.28697
-1.698176,2,3.305787
1.762717,5,3.326214
-5.86557,28,3.360926
-6.187307,38,3.403094
11.099214,27,3.437698
-2.318629,32,3.475754
-4.939019,25,3.508958
-0.072337,1,3.526981
-3.293342,10,3.550633
-9.585701,40,3.593009
-0.204074,30,3.629121
0.550958,4,3.648538
0.636059,5,3.668602
5.095623,23,3.700377
0.227292,1,3.718372
0.507979,1,3.735964
-6.079047,36,3.776059
-4.782834,15,3.803078
-0.248729,1,3.820606
-0.369968,30,4.887738
-1.815987,5,4.908898
0.482012,1,4.92671
2.960876,31,4.964528
-0.540604,2,4.983068
2.475979,23,5.014884
-5.155309,24,5.046894
-0.532241,1,5.06447
0.100905,2,5.082667
-0.107282,1,5.10053
-1.922815,3,5.119941
1.475568,1,5.137685
11.564649,32,5.17688
0.417011,2,5.195156
0.709621,2,5.213374
0.278023,1,5.230981
12.989234,37,5.271923
0.204283,1,5.289729
19.755686,34,5.329144
14.30794,38,5.370879
-9.196584,24,5.40429
51.298225,40,5.447919
0.04029,3,5.467006
-0.009524,34,5.506297
-1.951695,22,5.537415
6.049342,24,5.570036
0.454899,2,5.588168
6.377508,20,5.618596
1.101525,1,5.636407
0.060372,30,5.675371
