r,l,t
-41984.246707,255,1.562816
-0.2,1,1.575947
-0.3,1,1.579032
-0.4,1,1.581553
-0.5,1,1.584011
-0.6,1,1.587166
-0.7,1,1.589877
-0.8,1,1.593064
-0.9,1,1.596168
-1.0,1,1.598926
-1.1,1,1.602013
-1.2,1,1.60471
-1.3,1,1.607923
-1.4,1,1.624491
-1.5,1,1.627666
-1.6,1,1.631467
-1.7,1,1.634256
-1.8,1,1.639357
-1.9,1,1.64302
-2.0,1,1.649136
-2.1,1,1.664242
-2.2,1,1.667055
-2.3,1,1.673088
-2.4,1,1.676048
-2.5,1,1.679156
-2.6,1,1.682212
-2.7,1,1.696219
-2.8,1,1.699096
-2.9,1,1.702893
-3.0,1,1.706694
-3.1,1,1.71007
-3.2,1,1.713438
-3.3,1,1.716409
-3.4,1,1.720856
-3.5,1,1.723621
-3.6,1,1.726653
-3.7,1,1.730551
-3.8,1,1.743108
-3.9,1,1.746229
-4.0,1,1.74909
-4.1,1,1.75261
-4.2,1,1.757716
-4.3,1,1.761933
-4.4,1,1.76499
-4.5,1,1.768817
-4.6,1,1.772803
-4.7,1,1.781251
-4.8,1,1.794049
-4.9,1,1.796484
-5.0,1,1.79965
-5.1,1,1.802456
-5.2,1,1.80508
-5.3,1,1.807614
-5.4,1,1.810223
-5.5,1,1.812602
-5.6,1,1.814979
-5.7,1,1.818042
-5.8,1,1.820651
-5.9,1,1.833278
-6.0,1,1.849233
-6.1,1,1.864511
-6.2,1,1.881931
-6.3,1,1.884769
-6.4,1,1.888207
-6.5,1,1.891475
-6.6,1,1.8947
-6.7,1,1.89967
-6.8,1,1.903955
-6.9,1,1.906594
-7.0,1,1.909133
-7.1,1,1.912443
-7.2,1,1.914993
-7.3,1,1.917416
-7.4,1,1.920146
-7.5,1,1.932849
-7.6,1,1.936707
-7.7,1,1.93925
-7.8,1,1.956971
-7.9,1,1.959576
-8.0,1,1.962281
-8.1,1,1.965158
-8.2,1,1.967637
-8.3,1,1.97708
-8.4,1,1.989795
-8.5,1,1.992267
-8.6,1,1.994575
-8.7,1,1.996675
-8.8,1,1.998751
-8.9,1,2.001487
-9.0,1,2.004753
-9.1,1,2.006873
-9.2,1,2.031431
-9.3,1,2.034501
-9.4,1,2.037233
-9.5,1,2.041627
-9.6,1,2.054325
-9.7,1,2.056523
-9.8,1,2.058535
-9.9,1,2.061404
-10.0,1,2.063463
-10.1,1,2.075962
-10.2,1,2.079556
-10.3,1,2.083447
-10.4,1,2.085399
-10.5,1,2.089582
-10.6,1,2.093849
-10.7,1,2.098068
-10.8,1,2.104725
-10.9,1,2.119749
-11.0,1,2.131432
-11.1,1,2.147514
-11.2,1,2.149525
-11.3,1,2.166828
-11.4,1,2.169103
-11.5,1,2.170785
-11.6,1,2.173199
-11.7,1,2.175397
-11.8,1,2.177388
-11.9,1,2.179433
-12.0,1,2.182443
-12.1,1,2.184618
-12.2,1,2.187163
-12.3,1,2.189664
-12.4,1,2.192015
-12.5,1,2.196428
-12.6,1,2.198419
-12.7,1,2.209966
-12.8,1,2.213877
-12.9,1,2.224464
-13.0,1,2.226515
-13.1,1,2.228152
-13.2,1,2.230503
-13.3,1,2.232669
-13.4,1,2.234713
-13.5,1,2.240961
-13.6,1,2.243125
-13.7,1,2.24528
-13.8,1,2.251499
-13.9,1,2.262245
-14.0,1,2.275084
-14.1,1,2.27708
-14.2,1,2.287876
-14.3,1,2.289874
-14.4,1,2.300928
-14.5,1,2.302642
-14.6,1,2.304479
-14.7,1,2.306757
-14.8,1,2.309177
-14.9,1,2.311387
-15.0,1,2.313514
-15.1,1,2.316488
-15.2,1,2.319185
-15.3,1,2.322067
-15.4,1,2.324044
-15.5,1,2.326898
-15.6,1,2.32893
-15.7,1,2.330922
-15.8,1,2.33437
-15.9,1,2.345694
-16.0,1,2.347722
-16.1,1,2.352611
-16.2,1,2.355305
-16.3,1,2.358201
-16.4,1,2.360432
-16.5,1,2.362337
-16.6,1,2.373368
-16.7,1,2.375644
-16.8,1,2.390446
-16.9,1,2.394717
-17.0,1,2.406536
-17.1,1,2.408202
-17.2,1,2.410202
-17.3,1,2.412556
-17.4,1,2.415948
-17.5,1,2.4183
-17.6,1,2.421352
-17.7,1,2.426132
-17.8,1,2.438082
-17.9,1,2.444563
-18.0,1,2.446545
-18.1,1,2.458772
-18.2,1,2.460932
-18.3,1,2.464571
-18.4,1,2.46995
-18.5,1,2.472674
-18.6,1,2.475029
-18.7,1,2.478085
-18.8,1,2.4806
-18.9,1,2.491239
-19.0,1,2.493341
-19.1,1,2.50395
-19.2,1,2.521064
-19.3,1,2.523395
-19.4,1,2.526232
-19.5,1,2.528396
-19.6,1,2.530376
-19.7,1,2.532338
-19.8,1,2.534297
-19.9,1,2.537233
-20.0,1,2.53971
-20.1,1,2.55021
-20.2,1,2.552421
-20.3,1,2.56579
-20.4,1,2.567762
-20.5,1,2.569708
-20.6,1,2.571722
-20.7,1,2.574615
-20.8,1,2.577005
-20.9,1,2.579326
-21.0,1,2.5902
-21.1,1,2.61438
-21.2,1,2.627128
-21.3,1,2.629102
-21.4,1,2.631252
-21.5,1,2.6336
-21.6,1,2.635757
-21.7,1,2.639976
-21.8,1,2.641943
-21.9,1,2.643908
-22.0,1,2.646592
-22.1,1,2.648553
-22.2,1,2.652822
-22.3,1,2.6562
-22.4,1,2.658512
-22.5,1,2.662249
-22.6,1,2.675342
-22.7,1,2.677936
-22.8,1,2.695835
-22.9,1,2.698409
-23.0,1,2.700931
-23.1,1,2.711936
-23.2,1,2.713577
-23.3,1,2.71598
-23.4,1,2.718066
-23.5,1,2.720041
-23.6,1,2.72238
-23.7,1,2.726959
-23.8,1,2.729498
-23.9,1,2.740551
-24.0,1,2.751687
-24.1,1,2.765894
-24.2,1,2.767898
-24.3,1,2.778499
-24.4,1,2.782787
-24.5,1,2.790886
-24.6,1,2.801801
-24.7,1,2.804988
-24.8,1,2.806616
-24.9,1,2.820846
-25.0,1,2.834708
-25.1,1,2.836729
-25.2,1,2.838825
-25.3,1,2.84079
-25.4,1,2.842906
-0.573658,1,2.845051
-1.147316,1,2.84751
-1.720974,1,2.849498
-2.294632,1,2.851442
-2.86829,1,2.854089
-3.441949,1,2.86768
-4.015607,1,2.869887
-4.589265,1,2.874199
-5.162923,1,2.876183
-5.736581,1,2.879383
-6.310239,1,2.886109
-6.883897,1,2.897441
-7.457555,1,2.899914
-8.031213,1,2.911259
-8.604871,1,2.913829
-9.178529,1,2.917222
-9.752188,1,2.920038
-10.325846,1,2.931956
-10.899504,1,2.933943
-11.473162,1,2.944822
-12.04682,1,2.953916
-12.620478,1,2.95552
-13.194136,1,2.971688
-13.767794,1,2.982633
-14.341452,1,2.984255
-14.91511,1,2.993344
-15.488768,1,2.997859
-16.062427,1,3.010911
-16.636085,1,3.013258
-17.209743,1,3.024524
-17.783401,1,3.02915
-18.357059,1,3.03076
-18.930717,1,3.032998
-19.504375,1,3.043407
-20.078033,1,3.045023
-20.651691,1,3.047188
-21.225349,1,3.049142
-21.799007,1,3.050824
-22.372666,1,3.052987
-22.946324,1,3.055146
-23.519982,1,3.056748
-24.09364,1,3.059997
-24.667298,1,3.062318
-25.240956,1,3.066404
-25.814614,1,3.071746
-26.388272,1,3.073707
-26.96193,1,3.084978
-27.535588,1,3.08699
-28.109246,1,3.09759
-28.682905,1,3.099558
-29.256563,1,3.102367
-29.830221,1,3.106934
-30.403879,1,3.110282
-30.977537,1,3.113445
-31.551195,1,3.12538
-32.124853,1,3.127555
-32.698511,1,3.130421
-33.272169,1,3.145882
-33.845827,1,3.149811
-34.419485,1,3.163513
-34.993143,1,3.166022
-35.566802,1,3.168016
-36.14046,1,3.172211
-36.714118,1,3.183594
-37.287776,1,3.185965
-37.861434,1,3.188811
-38.435092,1,3.192945
-39.00875,1,3.19739
-39.582408,1,3.209527
-40.156066,1,3.212235
-40.729724,1,3.214438
-41.303382,1,3.218534
-41.877041,1,3.220131
-42.450699,1,3.230702
-43.024357,1,3.232674
-43.598015,1,3.235028
-44.171673,1,3.238171
-44.745331,1,3.240309
-45.318989,1,3.24317
-45.892647,1,3.254811
-46.466305,1,3.26284
-47.039963,1,3.26832
-47.613621,1,3.269923
-48.18728,1,3.283152
-48.760938,1,3.287418
-49.334596,1,3.289858
-49.908254,1,3.291986
-50.481912,1,3.30392
-51.05557,1,3.305726
-51.629228,1,3.308019
-52.202886,1,3.310163
-52.776544,1,3.312826
-53.350202,1,3.314822
-53.92386,1,3.317322
-54.497519,1,3.319554
-55.071177,1,3.321553
-55.644835,1,3.32385
-56.218493,1,3.325982
-56.792151,1,3.329059
-57.365809,1,3.331036
-57.939467,1,3.341595
-58.513125,1,3.343952
-59.086783,1,3.347864
-59.660441,1,3.350284
-60.234099,1,3.352747
-60.807758,1,3.355254
-61.381416,1,3.357557
-61.955074,1,3.36862
-62.528732,1,3.38408
-63.10239,1,3.389458
-63.676048,1,3.394442
-64.249706,1,3.405359
-64.823364,1,3.407137
-65.397022,1,3.409829
-65.97068,1,3.413373
-66.544338,1,3.421646
-67.117997,1,3.426118
-67.691655,1,3.437207
-68.265313,1,3.439779
-68.838971,1,3.442443
-69.412629,1,3.444418
-69.986287,1,3.450174
-70.559945,1,3.460691
-71.133603,1,3.462657
-71.707261,1,3.465547
-72.280919,1,3.468387
