r,l,t
-0.1,391,2.701975
-0.2,1,2.70497
-0.3,1,2.715504
-0.4,1,2.739728
-0.5,1,2.750995
-0.6,1,2.765837
-0.7,1,2.76798
-0.8,1,2.770822
-0.9,1,2.782242
-1.0,1,2.795843
-1.1,1,2.798959
-1.2,1,2.801795
-1.3,1,2.80549
-1.4,1,2.811188
-1.5,1,2.813301
-1.6,1,2.81929
-1.7,1,2.832391
-1.8,1,2.835275
-1.9,1,2.837749
-2.0,1,2.840749
-2.1,1,2.842852
-2.2,1,2.845408
-2.3,1,2.848598
-2.4,1,2.85126
-2.5,1,2.853723
-2.6,1,2.869338
-2.7,1,2.871869
-2.8,1,2.877117
-2.9,1,2.886631
-3.0,1,2.89073
-3.1,1,2.901149
-3.2,1,2.904402
-3.3,1,2.90704
-3.4,1,2.917958
-3.5,1,2.920096
-3.6,1,2.922537
-3.7,1,2.926277
-3.8,1,2.934907
-3.9,1,2.947471
-4.0,1,2.950314
-4.1,1,2.954031
-4.2,1,2.956145
-4.3,1,2.959882
-4.4,1,2.965865
-4.5,1,2.972901
-4.6,1,2.989121
-4.7,1,2.992085
-4.8,1,3.002947
-4.9,1,3.00513
-5.0,1,3.007652
-5.1,1,3.01084
-5.2,1,3.01431
-5.3,1,3.017199
-5.4,1,3.023232
-5.5,1,3.028382
-5.6,1,3.030875
-5.7,1,3.034063
-5.8,1,3.036611
-5.9,1,3.047855
-6.0,1,3.050551
-6.1,1,3.054458
-6.2,1,3.075763
-6.3,1,3.08639
-6.4,1,3.089074
-6.5,1,3.092105
-6.6,1,3.095156
-6.7,1,3.099435
-6.8,1,3.107888
-6.9,1,3.110714
-7.0,1,3.112924
-7.1,1,3.124802
-7.2,1,3.133194
-7.3,1,3.136402
-7.4,1,3.139516
-7.5,1,3.149793
-7.6,1,3.152103
-7.7,1,3.154586
-7.8,1,3.15708
-7.9,1,3.167498
-8.0,1,3.172966
-8.1,1,3.177206
-8.2,1,3.17978
-8.3,1,3.183666
-8.4,1,3.196322
-8.5,1,3.198569
-8.6,1,3.209391
-8.7,1,3.212951
-8.8,1,3.226434
-8.9,1,3.229488
-9.0,1,3.232334
-9.1,1,3.236565
-9.2,1,3.239559
-9.3,1,3.242032
-9.4,1,3.246884
-9.5,1,3.250945
-9.6,1,3.254131
-9.7,1,3.266798
-9.8,1,3.290892
-9.9,1,3.31307
-10.0,1,3.337295
-10.1,1,3.343016
-10.2,1,3.350956
-10.3,1,3.355749
-10.4,1,3.367316
-10.5,1,3.370194
-10.6,1,3.376928
-10.7,1,3.37904
-10.8,1,3.384891
-10.9,1,3.387549
-11.0,1,3.391465
-11.1,1,3.403776
-11.2,1,3.416221
-11.3,1,3.439296
-11.4,1,3.443086
-11.5,1,3.448827
-11.6,1,3.457842
-11.7,1,3.46923
-11.8,1,3.476248
-11.9,1,3.481108
-12.0,1,3.492173
-12.1,1,3.494893
-12.2,1,3.498345
-12.3,1,3.505706
-12.4,1,3.520858
-12.5,1,3.523016
-12.6,1,3.528139
-12.7,1,3.539661
-12.8,1,3.55062
-12.9,1,3.555826
-13.0,1,3.560367
-13.1,1,3.565815
-13.2,1,3.57038
-13.3,1,3.572495
-13.4,1,3.575872
-13.5,1,3.587217
-13.6,1,3.589701
-13.7,1,3.592405
-13.8,1,3.595035
-13.9,1,3.597487
-14.0,1,3.599988
-14.1,1,3.6022
-14.2,1,3.604291
-14.3,1,3.614925
-14.4,1,3.617053
-14.5,1,3.619887
-14.6,1,3.623417
-14.7,1,3.630082
-14.8,1,3.632915
-14.9,1,3.639647
-15.0,1,3.651148
-15.1,1,3.653655
-15.2,1,3.658427
-15.3,1,3.664042
-15.4,1,3.668159
-15.5,1,3.67381
-15.6,1,3.67628
-15.7,1,3.678914
-15.8,1,3.689697
-15.9,1,3.692837
-16.0,1,3.695819
-16.1,1,3.70042
-16.2,1,3.703971
-16.3,1,3.716323
-16.4,1,3.718818
-16.5,1,3.721492
-16.6,1,3.732298
-16.7,1,3.734795
-16.8,1,3.737635
-16.9,1,3.740668
-17.0,1,3.76076
-17.1,1,3.780938
-17.2,1,3.783096
-17.3,1,3.794037
