r,l,t
-640.330514,113,0.515318
-0.2,1,0.53252
-0.3,1,0.535279
-0.4,1,0.543044
-0.5,1,0.558786
-0.6,1,0.570292
-0.7,1,0.5714
-0.8,1,0.572253
-0.9,1,0.574329
-1.0,1,0.576413
-1.1,1,0.585846
-1.2,1,0.587274
-1.3,1,0.588769
-1.4,1,0.590219
-0.1,1,0.599767
-0.2,1,0.600763
-0.3,1,0.601564
-0.4,1,0.60347
-0.5,1,0.605171
-0.6,1,0.62428
-0.7,1,0.643999
-0.8,1,0.652964
-0.9,1,0.654386
-1.0,1,0.65521
-1.1,1,0.656008
-1.2,1,0.664474
-1.3,1,0.665679
-1.4,1,0.666505
222.885859,141,1.230899
-1.110078,1,1.231919
-1.665117,1,1.24167
-2.220156,1,1.242494
-2.775195,1,1.24335
-3.330234,1,1.244171
-3.885273,1,1.24562
-4.440312,1,1.247291
-4.995351,1,1.256262
-5.55039,1,1.257115
-6.105429,1,1.263884
-6.660468,1,1.270269
-7.215507,1,1.271506
-7.770546,1,1.272309
222.213871,85,1.66602
0.618817,1,1.67726
0.928226,1,1.688978
1.237634,1,1.689838
1.547043,1,1.69137
1.856451,1,1.692241
2.16586,1,1.703236
2.475268,1,1.707044
2.784677,1,1.724197
3.094085,1,1.725058
3.403494,1,1.728388
3.712902,1,1.729463
4.022311,1,1.732246
4.331719,1,1.733676
-292.461904,43,1.839724
0.859255,1,1.84058
1.288882,1,1.847038
1.718509,1,1.856602
2.148137,1,1.857424
2.577764,1,1.858778
3.007391,1,1.863088
3.437018,1,1.863867
3.866646,1,1.866618
4.296273,1,1.867408
4.7259,1,1.868241
5.155528,1,1.869012
5.585155,1,1.873027
6.014782,1,1.876831
-122.321829,57,2.149044
0.0,1,2.150461
0.0,1,2.151241
0.0,1,2.152378
0.0,1,2.153474
0.0,1,2.162022
0.0,1,2.162801
0.0,1,2.163929
0.0,1,2.1665
0.0,1,2.167261
0.0,1,2.168011
0.0,1,2.168755
0.0,1,2.175647
0.0,1,2.185099
-413.448569,71,2.436904
1.540867,1,2.44094
2.311301,1,2.442305
3.081734,1,2.453286
3.852168,1,2.454112
4.622601,1,2.455474
5.393035,1,2.470128
6.163469,1,2.486793
6.933902,1,2.488832
7.704336,1,2.48999
8.474769,1,2.490769
9.245203,1,2.492151
10.015636,1,2.500802
10.78607,1,2.501604
2069.311252,141,3.026062
-3.019716,1,3.026848
-4.529573,1,3.035415
-6.039431,1,3.036215
-7.549289,1,3.037015
-9.059147,1,3.040759
-10.569005,1,3.041572
-12.078863,1,3.042339
-13.58872,1,3.043139
-15.098578,1,3.045043
-16.608436,1,3.048297
-18.118294,1,3.049071
-19.628152,1,3.063448
-21.13801,1,3.065461
179.181662,155,3.581492
-0.2,1,3.582764
-0.3,1,3.583611
-0.4,1,3.593104
-0.5,1,3.594457
-0.6,1,3.595807
-0.7,1,3.596581
-0.8,1,3.597377
-0.9,1,3.606135
-1.0,1,3.612075
-1.1,1,3.616587
-1.2,1,3.626268
-1.3,1,3.630547
