r,l,t
8955.540108,697,3.674576
-0.026824,1,3.676305
-0.040235,1,3.678372
-0.053647,1,3.690438
-0.067059,1,3.701686
-0.080471,1,3.703562
-0.093883,1,3.706373
-0.107295,1,3.708118
-0.120706,1,3.709768
-0.134118,1,3.711978
-0.14753,1,3.713692
-0.160942,1,3.715387
-0.174354,1,3.717816
-0.187766,1,3.71894
-0.201177,1,3.733676
-0.214589,1,3.740173
-0.228001,1,3.758518
-0.241413,1,3.760062
-0.254825,1,3.761178
-0.268236,1,3.762698
-0.281648,1,3.773002
-0.29506,1,3.774146
-0.308472,1,3.775847
-0.321884,1,3.782996
-0.335296,1,3.787837
-0.348707,1,3.800805
-0.362119,1,3.803084
-0.375531,1,3.805347
-0.388943,1,3.808457
-0.402355,1,3.810111
-0.415767,1,3.812503
-0.429178,1,3.814899
-0.44259,1,3.817813
-0.456002,1,3.819002
-0.469414,1,3.820662
-0.482826,1,3.831414
-0.496238,1,3.832891
-0.509649,1,3.834924
-0.523061,1,3.836429
-0.536473,1,3.83845
-0.549885,1,3.840144
-0.563297,1,3.843245
-0.576708,1,3.845997
-0.59012,1,3.848883
-0.603532,1,3.863602
-0.616944,1,3.865156
-0.630356,1,3.867376
-0.643768,1,3.869934
-0.657179,1,3.871605
-0.670591,1,3.874317
-0.684003,1,3.876184
-0.697415,1,3.877672
-0.710827,1,3.879407
-0.724239,1,3.882525
-0.73765,1,3.895801
-0.751062,1,3.897502
-0.764474,1,3.907855
-0.777886,1,3.909373
-0.791298,1,3.911076
-0.804709,1,3.915241
-0.818121,1,3.925192
-0.831533,1,3.935743
-0.844945,1,3.937258
-0.858357,1,3.938918
-0.871769,1,3.949027
-0.88518,1,3.95019
-0.898592,1,3.951307
-0.912004,1,3.953167
-0.925416,1,3.954854
-0.938828,1,3.956338
-0.95224,1,3.958195
-0.965651,1,3.959673
-0.979063,1,3.962421
-0.992475,1,3.964998
-1.005887,1,3.968249
-1.019299,1,3.983368
-1.032711,1,3.985168
-1.046122,1,3.986988
-1.059534,1,3.997849
-1.072946,1,3.999472
-1.086358,1,4.004576
-1.09977,1,4.006296
-1.113181,1,4.007951
-1.126593,1,4.025487
-1.140005,1,4.027198
-1.153417,1,4.028891
-1.166829,1,4.030775
-1.180241,1,4.034085
-1.193652,1,4.040504
-1.207064,1,4.042166
-1.220476,1,4.052698
-1.233888,1,4.075316
-1.2473,1,4.076496
-1.260712,1,4.091754
-1.274123,1,4.102528
-1.287535,1,4.10373
-1.300947,1,4.107747
-1.314359,1,4.115622
-1.327771,1,4.116776
-1.341182,1,4.117927
-1.354594,1,4.12069
-1.368006,1,4.132656
-1.381418,1,4.137058
-1.39483,1,4.142587
-1.408242,1,4.145462
-1.421653,1,4.147781
-1.435065,1,4.149778
-1.448477,1,4.160275
-1.461889,1,4.16191
-1.475301,1,4.172156
-1.488713,1,4.173738
-1.502124,1,4.175259
-1.515536,1,4.192308
-1.528948,1,4.200472
-1.54236,1,4.206658
-1.555772,1,4.207786
-17843.690997,581,7.049665
1.200005,1,7.060181
1.800008,1,7.063818
2.400011,1,7.072694
3.000013,1,7.075174
3.600016,1,7.08572
4.200019,1,7.089752
4.800021,1,7.092121
5.400024,1,7.094338
6.000027,1,7.095517
6.600029,1,7.110438
7.200032,1,7.134106
7.800035,1,7.135896
8.400037,1,7.137746
9.00004,1,7.156378
