r,l,t
-0.1,418,2.965101
-0.2,1,2.968241
-0.3,1,2.9718
-0.4,1,2.976801
-0.5,1,2.982241
-0.6,1,2.987153
-0.7,1,3.001174
-0.8,1,3.003806
-0.9,1,3.006692
-1.0,1,3.00976
-1.1,1,3.014248
-1.2,1,3.02597
-1.3,1,3.029718
-1.4,1,3.040621
-1.5,1,3.043672
-1.6,1,3.046341
-1.7,1,3.049499
-1.8,1,3.053603
-1.9,1,3.056742
-2.0,1,3.060913
-2.1,1,3.065551
-2.2,1,3.076935
-2.3,1,3.079686
-2.4,1,3.084938
-2.5,1,3.09069
-2.6,1,3.096678
-2.7,1,3.10086
-2.8,1,3.1117
-2.9,1,3.115058
-3.0,1,3.11782
-3.1,1,3.1297
-3.2,1,3.132471
-3.3,1,3.135561
-3.4,1,3.140902
-3.5,1,3.159785
-3.6,1,3.162764
-3.7,1,3.166992
-3.8,1,3.169603
-3.9,1,3.172929
-4.0,1,3.193258
-4.1,1,3.196258
-4.2,1,3.207396
-4.3,1,3.209878
-4.4,1,3.212482
-4.5,1,3.215068
-4.6,1,3.218003
-4.7,1,3.22149
-4.8,1,3.224574
-4.9,1,3.230848
-5.0,1,3.236108
-5.1,1,3.238695
-5.2,1,3.241937
-5.3,1,3.244515
-5.4,1,3.256069
-5.5,1,3.258874
-5.6,1,3.262886
-5.7,1,3.284312
-5.8,1,3.295056
-5.9,1,3.297688
-6.0,1,3.30078
-6.1,1,3.303849
-6.2,1,3.308229
-6.3,1,3.310798
-6.4,1,3.321187
-6.5,1,3.332384
-6.6,1,3.336454
-6.7,1,3.343158
-6.8,1,3.346606
-6.9,1,3.34983
-7.0,1,3.360345
-7.1,1,3.362941
-7.2,1,3.365663
-7.3,1,3.376203
-7.4,1,3.381334
-7.5,1,3.383528
-7.6,1,3.386467
-7.7,1,3.389202
-7.8,1,3.392491
-7.9,1,3.395124
-8.0,1,3.41008
-8.1,1,3.412919
-8.2,1,3.422804
-8.3,1,3.427226
-8.4,1,3.440883
-8.5,1,3.444057
-8.6,1,3.447
-8.7,1,3.44918
-8.8,1,3.453382
-8.9,1,3.456485
-9.0,1,3.459148
-9.1,1,3.461372
-9.2,1,3.466082
-9.3,1,3.470249
-9.4,1,3.473553
-9.5,1,3.475854
-9.6,1,3.488408
-9.7,1,3.512159
-9.8,1,3.514387
-9.9,1,3.536934
-10.0,1,3.539783
-10.1,1,3.563199
-10.2,1,3.566032
-10.3,1,3.570955
-10.4,1,3.574234
-10.5,1,3.594603
-10.6,1,3.597111
-10.7,1,3.60554
-10.8,1,3.611185
-10.9,1,3.617645
-11.0,1,3.621234
-11.1,1,3.634667
-11.2,1,3.648483
-11.3,1,3.65408
-11.4,1,3.658181
-11.5,1,3.661913
-11.6,1,3.666574
-11.7,1,3.683982
-11.8,1,3.68642
-11.9,1,3.690415
-12.0,1,3.697135
-12.1,1,3.703476
-12.2,1,3.708375
-12.3,1,3.722046
-12.4,1,3.725557
-12.5,1,3.744985
-12.6,1,3.748404
-12.7,1,3.752212
-12.8,1,3.760329
-12.9,1,3.766656
-13.0,1,3.779707
-13.1,1,3.786252
-13.2,1,3.789215
-13.3,1,3.801352
-13.4,1,3.812607
-13.5,1,3.819007
-13.6,1,3.827589
-13.7,1,3.830461
-13.8,1,3.835865
-13.9,1,3.839034
-14.0,1,3.842933
-14.1,1,3.854731
-14.2,1,3.857993
-14.3,1,3.860858
-14.4,1,3.863852
-14.5,1,3.866871
-14.6,1,3.869886
-14.7,1,3.872414
-14.8,1,3.874747
-14.9,1,3.886498
-15.0,1,3.891552
-15.1,1,3.899664
-15.2,1,3.90328
-15.3,1,3.911245
-15.4,1,3.924404
-15.5,1,3.927728
-15.6,1,3.931539
-15.7,1,3.935387
-15.8,1,3.941612
-15.9,1,3.947822
-16.0,1,3.953635
-16.1,1,3.957148
-16.2,1,3.960224
-16.3,1,3.972214
-16.4,1,3.976166
-16.5,1,3.979831
-16.6,1,3.985647
-16.7,1,3.98975
-16.8,1,4.004165
-16.9,1,4.007645
-17.0,1,4.010535
-17.1,1,4.012739
-17.2,1,4.024752
-17.3,1,4.028431
-17.4,1,4.032047
-17.5,1,4.034332
-17.6,1,4.043922
-17.7,1,4.059112
-17.8,1,4.080468
-17.9,1,4.093827
-18.0,1,4.096704
-18.1,1,4.100376
-18.2,1,4.107602
-18.3,1,4.114088
-18.4,1,4.116542
-18.5,1,4.133536
-18.6,1,4.147149
-18.7,1,4.150384
-18.8,1,4.165522
-18.9,1,4.188161
-19.0,1,4.192028
-19.1,1,4.199717
-19.2,1,4.202507
-19.3,1,4.209877
-19.4,1,4.221231
-19.5,1,4.225372
-19.6,1,4.245884
-19.7,1,4.250226
-19.8,1,4.275084
-19.9,1,4.277628
-20.0,1,4.282039
-20.1,1,4.285833
-20.2,1,4.290391
-20.3,1,4.294587
-20.4,1,4.29776
-20.5,1,4.301136
-20.6,1,4.304868
-20.7,1,4.321601
-20.8,1,4.32758
-20.9,1,4.333591
-21.0,1,4.337331
-21.1,1,4.342017
-21.2,1,4.358421
-21.3,1,4.364769
-21.4,1,4.370069
-21.5,1,4.387927
-21.6,1,4.39214
-21.7,1,4.39577
-21.8,1,4.401372
-21.9,1,4.404046
-22.0,1,4.408547
-22.1,1,4.415331
-22.2,1,4.419239
-22.3,1,4.433124
-22.4,1,4.440457
-22.5,1,4.442924
-22.6,1,4.446354
-22.7,1,4.4503
-22.8,1,4.452999
-22.9,1,4.455679
-23.0,1,4.458925
-23.1,1,4.462425
-23.2,1,4.466895
-23.3,1,4.472793
-23.4,1,4.48512
-23.5,1,4.487808
-23.6,1,4.490368
-23.7,1,4.50168
-23.8,1,4.50808
-23.9,1,4.511237
-24.0,1,4.514609
-24.1,1,4.520718
-24.2,1,4.525506
-24.3,1,4.53788
-24.4,1,4.559653
-24.5,1,4.562739
-24.6,1,4.565059
-24.7,1,4.567713
-24.8,1,4.570038
-24.9,1,4.580836
-25.0,1,4.583114
-25.1,1,4.586246
-25.2,1,4.588851
-25.3,1,4.593047
-25.4,1,4.595329
-25.5,1,4.598057
-25.6,1,4.603729
-25.7,1,4.60689
-25.8,1,4.618776
-25.9,1,4.621166
-26.0,1,4.629746
-26.1,1,4.639403
-26.2,1,4.650097
-26.3,1,4.653099
-26.4,1,4.664155
-26.5,1,4.668204
-26.6,1,4.670432
-26.7,1,4.673223
-26.8,1,4.675419
-26.9,1,4.678313
-27.0,1,4.689573
-27.1,1,4.703782
-27.2,1,4.715827
-27.3,1,4.718656
-27.4,1,4.721369
-27.5,1,4.724166
-27.6,1,4.727094
-27.7,1,4.738546
-27.8,1,4.740794
-27.9,1,4.74397
-28.0,1,4.750057
-28.1,1,4.756483
-28.2,1,4.772289
-28.3,1,4.776497
-28.4,1,4.781454
-28.5,1,4.792751
-28.6,1,4.805365
-28.7,1,4.819332
-28.8,1,4.83461
-28.9,1,4.84362
-29.0,1,4.847328
-29.1,1,4.85219
-29.2,1,4.856629
-29.3,1,4.873833
-29.4,1,4.877416
-29.5,1,4.881767
-29.6,1,4.885095
-29.7,1,4.891116
-29.8,1,4.895109
-29.9,1,4.899094
-30.0,1,4.903958
-30.1,1,4.909989
-30.2,1,4.914512
-30.3,1,4.917396
-30.4,1,4.931309
-30.5,1,4.934259
-30.6,1,4.937511
-30.7,1,4.940868
-30.8,1,4.945809
-30.9,1,4.950211
-31.0,1,4.961528
-31.1,1,4.96589
-31.2,1,4.979122
-31.3,1,4.982512
-31.4,1,4.985238
-31.5,1,4.988774
-31.6,1,5.001436
-31.7,1,5.005455
-31.8,1,5.022177
-31.9,1,5.03441
-32.0,1,5.043159
-32.1,1,5.050002
-32.2,1,5.061585
-32.3,1,5.064636
-32.4,1,5.071004
-32.5,1,5.076037
-32.6,1,5.079506
-32.7,1,5.084608
-32.8,1,5.097179
-32.9,1,5.100053
-33.0,1,5.121138
-33.1,1,5.123372
-33.2,1,5.134529
-33.3,1,5.139903
-33.4,1,5.152979
-33.5,1,5.161679
-33.6,1,5.167267
-33.7,1,5.181078
-33.8,1,5.188951
-33.9,1,5.192437
-34.0,1,5.196476
-34.1,1,5.201458
-34.2,1,5.205056
-34.3,1,5.208165
-34.4,1,5.2189
-34.5,1,5.23072
-34.6,1,5.233007
-34.7,1,5.236105
-34.8,1,5.239599
-34.9,1,5.242204
-35.0,1,5.24739
-35.1,1,5.253421
-35.2,1,5.258007
-35.3,1,5.270339
-35.4,1,5.273145
-35.5,1,5.277555
-35.6,1,5.279773
-35.7,1,5.282009
-35.8,1,5.288988
-35.9,1,5.291951
-36.0,1,5.297652
-36.1,1,5.309903
-36.2,1,5.322655
-36.3,1,5.326781
-36.4,1,5.338874
-36.5,1,5.358525
-36.6,1,5.361255
-36.7,1,5.386577
-36.8,1,5.390087
-36.9,1,5.393163
-37.0,1,5.405294
-37.1,1,5.410645
-37.2,1,5.422784
-37.3,1,5.426992
-37.4,1,5.430071
-37.5,1,5.433991
-37.6,1,5.439976
-37.7,1,5.447244
-37.8,1,5.451856
-37.9,1,5.455725
-38.0,1,5.468163
