r,l,t
-85.562874,12,0.171383
0.0,1,0.172737
0.0,1,0.174079
0.0,1,0.1756
0.0,1,0.17745
0.0,1,0.179171
0.0,1,0.179948
0.0,1,0.181281
0.0,1,0.183413
0.0,1,0.198558
0.0,1,0.200369
-70.45317,23,0.358583
-1.465092,1,0.361059
-2.197638,1,0.362389
-2.930183,1,0.363348
-3.662729,1,0.364552
-4.395275,1,0.37587
-5.127821,1,0.392038
-5.860367,1,0.393934
-6.592913,1,0.394907
-7.325459,1,0.397129
-8.058005,1,0.398869
28.305455,12,0.440207
-1.654234,1,0.441996
-2.48135,1,0.443122
-3.308467,1,0.446947
-4.135584,1,0.44891
-4.962701,1,0.449807
-5.789818,1,0.450608
-6.616934,1,0.451381
-7.444051,1,0.455169
-8.271168,1,0.467021
-9.098285,1,0.467964
0.654689,12,0.484825
1.309377,1,0.495765
1.964066,1,0.512779
2.618755,1,0.528048
3.273444,1,0.529443
3.928132,1,0.530548
4.582821,1,0.532422
5.23751,1,0.53581
5.892199,1,0.552554
6.546887,1,0.553589
7.201576,1,0.554818
346.624506,111,0.902597
-0.2,1,0.903384
-0.3,1,0.904253
-0.4,1,0.906759
-0.5,1,0.907879
-0.6,1,0.910454
-0.7,1,0.911277
-0.8,1,0.912065
-0.9,1,0.912848
-1.0,1,0.914911
-1.1,1,0.916076
-86.113159,34,1.026462
1.454545,1,1.036625
2.181818,1,1.037501
2.909091,1,1.038727
3.636364,1,1.039523
4.363636,1,1.041085
5.090909,1,1.041876
5.818182,1,1.04399
6.545455,1,1.044814
7.272727,1,1.046496
8.0,1,1.051651
-74.784139,12,1.086693
0.200541,1,1.087486
0.300812,1,1.088253
0.401083,1,1.089026
0.501353,1,1.089784
0.601624,1,1.091766
0.701894,1,1.102701
0.802165,1,1.103899
0.902436,1,1.104673
1.002706,1,1.105431
1.102977,1,1.10671
-124.749854,56,1.239362
-1.446912,1,1.241533
-2.170368,1,1.251241
-2.893824,1,1.252736
-3.61728,1,1.254925
-4.340736,1,1.255689
-5.064192,1,1.265153
-5.787648,1,1.266467
-6.511104,1,1.276688
