,dt_optimal_alldata_all_depth_3.pkl,dt_optimal_alldata_original_depth_4.pkl,dt_optimal_alldata_all.pkl,dt_hp_11.pkl,dt_optimal_alldata_original_depth_3.pkl,dt_optimal_alldata_original.pkl,dt_optimal_synthetic_all_hp11.pkl,dt_optimal_synthetic_hp11.pkl
realdata/augdata_01-Jan-2022_5m.csv,-0.2±2.3,-0.2±2.5,-0.1±2.0,-0.3±2.4,-0.0±2.4,-0.1±2.4,-0.9±2.9,-0.7±2.8
realdata/augdata_03-Feb-2022_5m.csv,-0.6±2.1,-0.6±1.9,-0.6±2.0,-0.2±2.0,-0.8±2.1,-0.6±1.9,-0.5±2.3,-0.6±2.1
realdata/augdata_02-Mar-2022_5m.csv,-0.7±1.8,-0.8±2.0,-0.6±1.8,-0.6±2.1,-0.7±1.9,-0.8±1.8,-0.7±2.2,-0.8±2.1
realdata/augdata_04-Apr-2022_5m.csv,-0.1±2.8,-0.3±3.0,-0.2±2.5,-0.5±2.5,-0.2±2.8,-0.2±2.5,-0.9±3.4,-0.9±3.1
realdata/augdata_02-May-2022_5m.csv,-0.7±1.6,-0.6±1.6,-0.6±1.8,-0.3±1.7,-0.5±1.6,-0.7±1.8,-0.6±1.7,-0.6±1.6
realdata/augdata_04-Jul-2022_5m.csv,-0.8±3.0,-0.7±2.9,-0.7±3.0,-0.2±2.9,-0.6±3.1,-0.4±2.6,-0.7±3.1,-0.6±2.9
realdata/augdata_16-Dec-2022_5m.csv,-0.6±2.5,-0.7±2.1,-0.8±2.7,-0.6±2.6,-0.6±2.8,-0.6±2.9,-0.8±2.9,-0.6±3.2
realdata/alldata.csv,-0.6±1.9,-0.7±1.9,-0.6±1.9,-0.8±2.0,-0.5±2.0,-0.6±1.9,-1.0±2.1,-0.9±2.2
