r,l,t
-65750.799366,2059,15.815011
-0.2,1,15.817915
-0.3,1,15.821689
-0.4,1,15.824352
-0.5,1,15.826801
-0.6,1,15.829145
-0.7,1,15.831524
-0.8,1,15.843109
-0.9,1,15.846738
-1.0,1,15.849559
-1.1,1,15.857009
-1.2,1,15.869147
-1.3,1,15.872318
-1.4,1,15.875265
-1.5,1,15.877604
-1.6,1,15.880742
-1.7,1,15.884547
-1.8,1,15.886917
-1.9,1,15.890702
-2.0,1,15.894988
-2.1,1,15.90504
-2.2,1,15.909292
-2.3,1,15.912187
-2.4,1,15.914479
-2.5,1,15.931086
-2.6,1,15.935074
-2.7,1,15.951286
-2.8,1,15.974039
-2.9,1,15.976657
-3.0,1,15.983181
-3.1,1,15.985143
-3.2,1,15.997634
-3.3,1,16.000303
-3.4,1,16.003003
-3.5,1,16.005643
-3.6,1,16.010757
-3.7,1,16.01516
-3.8,1,16.017463
-3.9,1,16.019835
-4.0,1,16.028986
-4.1,1,16.031276
-4.2,1,16.034785
-4.3,1,16.037568
-4.4,1,16.040879
-4.5,1,16.050425
-4.6,1,16.05471
-4.7,1,16.057706
-4.8,1,16.061913
-4.9,1,16.064355
-5.0,1,16.067651
-5.1,1,16.079904
-5.2,1,16.084615
-5.3,1,16.087238
-5.4,1,16.091099
-5.5,1,16.105478
-5.6,1,16.107855
-5.7,1,16.111001
-5.8,1,16.113987
-5.9,1,16.116658
-6.0,1,16.121206
-6.1,1,16.124896
-6.2,1,16.134194
-6.3,1,16.136249
-6.4,1,16.138714
-6.5,1,16.149198
-6.6,1,16.160395
-6.7,1,16.17284
-6.8,1,16.184949
-6.9,1,16.188465
-7.0,1,16.198657
-7.1,1,16.201571
-7.2,1,16.203863
-7.3,1,16.206349
-7.4,1,16.209543
-7.5,1,16.212833
-7.6,1,16.215643
-7.7,1,16.217912
-7.8,1,16.220438
-7.9,1,16.230822
-8.0,1,16.233123
-8.1,1,16.23708
-8.2,1,16.240098
-8.3,1,16.252829
-8.4,1,16.254767
-8.5,1,16.259055
-8.6,1,16.262222
-8.7,1,16.272157
-8.8,1,16.282667
-8.9,1,16.287183
-9.0,1,16.305296
-9.1,1,16.307237
-9.2,1,16.310403
-9.3,1,16.313715
-9.4,1,16.316913
-9.5,1,16.321621
-9.6,1,16.327779
-9.7,1,16.330772
-9.8,1,16.341244
-9.9,1,16.347298
-10.0,1,16.358832
-10.1,1,16.361507
-10.2,1,16.367952
-10.3,1,16.370597
-10.4,1,16.374444
-10.5,1,16.379324
-10.6,1,16.391155
-10.7,1,16.393682
-10.8,1,16.397201
-10.9,1,16.399468
-11.0,1,16.401392
-11.1,1,16.404128
-11.2,1,16.406763
-11.3,1,16.409401
-11.4,1,16.41272
-11.5,1,16.428464
-11.6,1,16.430777
-11.7,1,16.446234
-11.8,1,16.449485
-11.9,1,16.459946
-12.0,1,16.470081
-12.1,1,16.472947
-12.2,1,16.475562
-12.3,1,16.479586
-12.4,1,16.481877
-12.5,1,16.484485
-12.6,1,16.49687
-12.7,1,16.499165
-12.8,1,16.501961
-12.9,1,16.504521
-13.0,1,16.507197
-13.1,1,16.514197
-13.2,1,16.518052
-13.3,1,16.521911
-13.4,1,16.525258
-13.5,1,16.534884
-13.6,1,16.537195
-13.7,1,16.540325
-13.8,1,16.543859
-13.9,1,16.54651
-14.0,1,16.552589
-14.1,1,16.556242
-14.2,1,16.565378
-14.3,1,16.567318
-14.4,1,16.569603
-14.5,1,16.572422
-14.6,1,16.57612
-14.7,1,16.579276
-14.8,1,16.583687
-14.9,1,16.589382
-15.0,1,16.593818
-15.1,1,16.60367
-15.2,1,16.606713
-15.3,1,16.612812
-15.4,1,16.614723
-15.5,1,16.624887
-15.6,1,16.630513
-15.7,1,16.632937
-15.8,1,16.640121
-15.9,1,16.642151
-16.0,1,16.651854
-16.1,1,16.654891
-16.2,1,16.65827
-16.3,1,16.662799
-16.4,1,16.67221
-16.5,1,16.684893
-16.6,1,16.689449
-16.7,1,16.698729
-16.8,1,16.719397
-16.9,1,16.721746
-17.0,1,16.724182
-17.1,1,16.72621
-17.2,1,16.730252
-17.3,1,16.744635
-17.4,1,16.748286
-17.5,1,16.751861
-17.6,1,16.755927
-17.7,1,16.758654
-17.8,1,16.760558
-17.9,1,16.763005
-18.0,1,16.772125
-18.1,1,16.774671
-18.2,1,16.777134
-18.3,1,16.780217
-18.4,1,16.795365
-18.5,1,16.81601
-18.6,1,16.839033
-18.7,1,16.842138
-18.8,1,16.844389
-18.9,1,16.847377
-19.0,1,16.860696
-19.1,1,16.862645
-19.2,1,16.865479
-19.3,1,16.873333
-19.4,1,16.879095
-19.5,1,16.888849
-19.6,1,16.891172
-19.7,1,16.893435
-19.8,1,16.896745
-19.9,1,16.899186
-20.0,1,16.902465
-20.1,1,16.905064
-20.2,1,16.906969
-20.3,1,16.911482
-20.4,1,16.913928
-20.5,1,16.916204
-20.6,1,16.918475
-20.7,1,16.928555
-20.8,1,16.931027
-20.9,1,16.938049
-21.0,1,16.944717
-21.1,1,16.948833
-21.2,1,16.963285
-21.3,1,16.970268
-21.4,1,16.974079
-21.5,1,16.976908
-21.6,1,16.987843
-21.7,1,17.013938
-21.8,1,17.017995
-21.9,1,17.025766
-22.0,1,17.02955
-22.1,1,17.034225
-22.2,1,17.04572
-22.3,1,17.048996
-22.4,1,17.063792
-22.5,1,17.067145
-22.6,1,17.072411
-22.7,1,17.074626
-22.8,1,17.077229
-22.9,1,17.079972
-23.0,1,17.082505
-23.1,1,17.093093
-23.2,1,17.096447
-23.3,1,17.099457
-23.4,1,17.103046
-23.5,1,17.10715
-23.6,1,17.110817
-23.7,1,17.114753
-23.8,1,17.117958
-23.9,1,17.122754
-24.0,1,17.126926
-24.1,1,17.130719
-24.2,1,17.134081
-24.3,1,17.147178
-24.4,1,17.149779
-24.5,1,17.152591
-24.6,1,17.155983
-24.7,1,17.158748
-24.8,1,17.171249
-24.9,1,17.17386
-25.0,1,17.179625
-25.1,1,17.182313
-25.2,1,17.184888
-25.3,1,17.202243
-25.4,1,17.205382
-25.5,1,17.209282
-25.6,1,17.21277
-25.7,1,17.235271
-25.8,1,17.239593
-25.9,1,17.242396
-26.0,1,17.263783
-26.1,1,17.267034
-26.2,1,17.271101
-26.3,1,17.274098
-26.4,1,17.277267
-26.5,1,17.290288
-26.6,1,17.302829
-26.7,1,17.308213
-26.8,1,17.311632
-26.9,1,17.31632
-27.0,1,17.319822
-27.1,1,17.333738
-27.2,1,17.337213
-27.3,1,17.342892
-27.4,1,17.346068
-27.5,1,17.349256
-27.6,1,17.354871
-27.7,1,17.357445
-27.8,1,17.362433
-27.9,1,17.382107
-28.0,1,17.38507
-28.1,1,17.390295
-28.2,1,17.396751
-28.3,1,17.399775
-28.4,1,17.421294
-28.5,1,17.426304
-28.6,1,17.433945
-28.7,1,17.437089
-28.8,1,17.454424
-28.9,1,17.457654
-29.0,1,17.460794
-29.1,1,17.464005
-29.2,1,17.466559
-29.3,1,17.468721
-29.4,1,17.479352
-29.5,1,17.481689
-29.6,1,17.484553
-29.7,1,17.495635
-29.8,1,17.499104
-29.9,1,17.50768
-30.0,1,17.522883
-30.1,1,17.533056
-30.2,1,17.537106
-30.3,1,17.540308
-30.4,1,17.545103
-30.5,1,17.562402
-30.6,1,17.587459
-30.7,1,17.594727
-30.8,1,17.613435
-30.9,1,17.628569
-31.0,1,17.632468
-31.1,1,17.634744
-31.2,1,17.638456
-31.3,1,17.645701
-31.4,1,17.662658
-31.5,1,17.668323
-31.6,1,17.671463
-31.7,1,17.675619
-31.8,1,17.678716
-31.9,1,17.681405
-32.0,1,17.684524
-32.1,1,17.697654
-32.2,1,17.701547
-32.3,1,17.704567
-32.4,1,17.711962
-32.5,1,17.723366
-32.6,1,17.72667
-32.7,1,17.72997
-32.8,1,17.73347
-32.9,1,17.737767
-33.0,1,17.740444
-33.1,1,17.744693
-33.2,1,17.749377
-33.3,1,17.760219
-33.4,1,17.765002
-33.5,1,17.768334
-33.6,1,17.770902
-33.7,1,17.787552
-33.8,1,17.792336
-33.9,1,17.796124
-34.0,1,17.811695
-34.1,1,17.814805
-34.2,1,17.817718
-34.3,1,17.846517
390959.731369,2059,31.290746
-2.449447,1,31.294446
-3.67417,1,31.296971
-4.898894,1,31.300506
-6.123617,1,31.302472
-7.348341,1,31.307852
-8.573064,1,31.310338
-9.797788,1,31.312676
-11.022511,1,31.315005
-12.247234,1,31.324238
-13.471958,1,31.333495
-14.696681,1,31.345793
-15.921405,1,31.35181
-17.146128,1,31.355188
-18.370852,1,31.35756
-19.595575,1,31.367882
-20.820298,1,31.390693
-22.045022,1,31.393485
-23.269745,1,31.395819
-24.494469,1,31.399042
-25.719192,1,31.404362
-26.943916,1,31.40751
-28.168639,1,31.410688
-29.393363,1,31.413021
-30.618086,1,31.422416
-31.842809,1,31.424802
-33.067533,1,31.427878
-34.292256,1,31.430834
