r,l,t
-0.1,337,2.737616
-0.2,1,2.745711
-0.3,1,2.750766
-0.4,1,2.763641
-0.5,1,2.77126
-0.6,1,2.775086
-0.7,1,2.778072
-0.8,1,2.783001
-0.9,1,2.786166
-1.0,1,2.797538
-1.1,1,2.799597
-1.2,1,2.810702
-1.3,1,2.814926
-1.4,1,2.817209
-1.5,1,2.82211
-1.6,1,2.839965
-1.7,1,2.842566
-1.8,1,2.846634
-1.9,1,2.848906
-2.0,1,2.854565
-2.1,1,2.857351
-2.2,1,2.861461
-2.3,1,2.865432
-2.4,1,2.877089
-2.5,1,2.879595
-2.6,1,2.890847
-2.7,1,2.894547
-2.8,1,2.906197
-2.9,1,2.925139
-3.0,1,2.940514
-3.1,1,2.950947
-3.2,1,2.95333
-3.3,1,2.955626
-3.4,1,2.959256
-3.5,1,2.964583
-3.6,1,2.982411
-3.7,1,2.985655
-3.8,1,2.988303
-3.9,1,2.99413
-4.0,1,3.000261
-4.1,1,3.002998
-4.2,1,3.005753
-4.3,1,3.016091
-4.4,1,3.022551
-4.5,1,3.025568
-4.6,1,3.043459
-4.7,1,3.054738
-4.8,1,3.06932
-4.9,1,3.072178
-5.0,1,3.075317
-5.1,1,3.096476
-5.2,1,3.099405
-5.3,1,3.102105
-5.4,1,3.105739
-5.5,1,3.114836
-5.6,1,3.119563
-5.7,1,3.130038
-5.8,1,3.132725
-5.9,1,3.135045
-6.0,1,3.137836
-6.1,1,3.141854
-6.2,1,3.144153
-6.3,1,3.159673
-6.4,1,3.161989
-6.5,1,3.166791
-6.6,1,3.172445
-6.7,1,3.178094
-6.8,1,3.18199
-6.9,1,3.192436
-7.0,1,3.195468
-7.1,1,3.198053
-7.2,1,3.208661
-7.3,1,3.211171
-7.4,1,3.213122
-7.5,1,3.216647
-7.6,1,3.235323
-7.7,1,3.237949
-7.8,1,3.24141
-7.9,1,3.243851
-8.0,1,3.246674
-8.1,1,3.249235
-8.2,1,3.255227
-8.3,1,3.262157
-8.4,1,3.27286
-8.5,1,3.275538
-8.6,1,3.28623
-8.7,1,3.288755
-8.8,1,3.291017
-8.9,1,3.294483
-9.0,1,3.297474
-9.1,1,3.306408
-9.2,1,3.308895
-9.3,1,3.311934
-9.4,1,3.314172
-9.5,1,3.325328
-9.6,1,3.327812
-9.7,1,3.331518
-9.8,1,3.352387
-9.9,1,3.362615
-10.0,1,3.364916
-10.1,1,3.387798
-10.2,1,3.391431
-10.3,1,3.395116
-10.4,1,3.397738
-10.5,1,3.401698
-10.6,1,3.404747
-10.7,1,3.407007
-10.8,1,3.419429
-10.9,1,3.423783
-11.0,1,3.426075
-11.1,1,3.428333
-11.2,1,3.438655
-11.3,1,3.440766
-11.4,1,3.442718
-11.5,1,3.447641
-11.6,1,3.450296
-11.7,1,3.453605
-11.8,1,3.457668
-11.9,1,3.469973
-12.0,1,3.471926
-12.1,1,3.478447
-12.2,1,3.481592
-12.3,1,3.486583
-12.4,1,3.49034
-12.5,1,3.502971
-12.6,1,3.505867
-12.7,1,3.509623
-12.8,1,3.512638
-12.9,1,3.515422
-13.0,1,3.517727
-13.1,1,3.522603
-13.2,1,3.526452
-13.3,1,3.539802
-13.4,1,3.563626
-13.5,1,3.585769
-13.6,1,3.595992
-13.7,1,3.611835
-13.8,1,3.614333
-13.9,1,3.618942
-14.0,1,3.621926
-14.1,1,3.640695
-14.2,1,3.654711
-14.3,1,3.657187
-14.4,1,3.669126
-14.5,1,3.68166
-14.6,1,3.687114
-14.7,1,3.690825
-14.8,1,3.693562
-14.9,1,3.711761
-15.0,1,3.718978
-15.1,1,3.721753
-15.2,1,3.724235
-15.3,1,3.726567
-15.4,1,3.73013
-15.5,1,3.732838
-15.6,1,3.738127
-15.7,1,3.749385
-15.8,1,3.75671
-15.9,1,3.761602
-16.0,1,3.772317
-16.1,1,3.775071
-16.2,1,3.777018
-16.3,1,3.778981
-16.4,1,3.790267
-16.5,1,3.801538
-16.6,1,3.803518
-16.7,1,6.342784
-16.8,1,6.354984
-16.9,1,6.366206
-17.0,1,6.371153
-17.1,1,6.377357
-17.2,1,6.380645
-17.3,1,6.385236
-17.4,1,6.38868
-17.5,1,6.399619
-17.6,1,6.402665
-17.7,1,6.404563
-17.8,1,6.40735
-17.9,1,6.418225
-18.0,1,6.420756
-18.1,1,6.423419
-18.2,1,6.428132
-18.3,1,6.43156
-18.4,1,6.436477
-18.5,1,6.451685
-18.6,1,6.456759
-18.7,1,6.462119
-18.8,1,6.466064
-18.9,1,6.471813
-19.0,1,6.473741
-19.1,1,6.476139
-19.2,1,6.486818
-19.3,1,6.504974
-19.4,1,6.506959
-19.5,1,6.509497
-19.6,1,6.520105
-19.7,1,6.522185
-19.8,1,6.525009
-19.9,1,6.527812
-20.0,1,6.53798
-20.1,1,6.549637
-20.2,1,6.569577
-20.3,1,6.580822
-20.4,1,6.582803
-20.5,1,6.585536
-20.6,1,6.588317
-20.7,1,6.59286
-20.8,1,6.598538
-20.9,1,6.61396
-21.0,1,6.616848
-21.1,1,6.630573
-21.2,1,6.641198
-21.3,1,6.644954
-21.4,1,6.648468
-21.5,1,6.665965
-21.6,1,6.668889
-21.7,1,6.670799
-21.8,1,6.673262
-21.9,1,6.676061
-22.0,1,6.681144
-22.1,1,6.683709
-22.2,1,6.690058
-22.3,1,6.700777
-22.4,1,6.704425
-22.5,1,6.707043
-22.6,1,6.711999
-22.7,1,6.727641
-22.8,1,6.731496
-22.9,1,6.73343
-23.0,1,6.735705
-23.1,1,6.743946
-23.2,1,6.758067
-23.3,1,6.760899
-23.4,1,6.763173
-23.5,1,6.766718
-23.6,1,6.770604
-23.7,1,6.788926
-23.8,1,6.792625
-23.9,1,6.798733
-24.0,1,6.802963
-24.1,1,6.808614
-24.2,1,6.818845
-24.3,1,6.821679
-24.4,1,6.840067
-24.5,1,6.842867
-24.6,1,6.84606
-24.7,1,6.850247
-24.8,1,6.853934
-24.9,1,6.869617
-25.0,1,6.871583
-25.1,1,6.877412
-25.2,1,6.880565
-25.3,1,6.883021
-25.4,1,6.88492
-25.5,1,6.88794
-25.6,1,6.89022
-25.7,1,6.89261
-25.8,1,6.895404
-25.9,1,6.900876
-26.0,1,6.902774
-26.1,1,6.905596
-26.2,1,6.915848
-26.3,1,6.918279
-26.4,1,6.920901
-26.5,1,6.931236
-26.6,1,6.936703
-26.7,1,6.939528
-26.8,1,6.946192
-26.9,1,6.95056
-27.0,1,6.963187
-27.1,1,6.985388
-27.2,1,6.988062
-27.3,1,6.990343
-27.4,1,6.992559
-27.5,1,7.003035
-27.6,1,7.004996
-27.7,1,7.007827
-27.8,1,7.010863
-27.9,1,7.015842
-28.0,1,7.021487
-28.1,1,7.024659
-28.2,1,7.036647
-28.3,1,7.038653
-28.4,1,7.052596
-28.5,1,7.063585
-28.6,1,7.068486
-28.7,1,7.076341
-28.8,1,7.081416
-28.9,1,7.083703
-29.0,1,7.086039
-29.1,1,7.096792
-29.2,1,7.110181
-29.3,1,7.121978
-29.4,1,7.124467
-29.5,1,7.126754
-29.6,1,7.129184
-29.7,1,7.13182
-29.8,1,7.13409
-29.9,1,7.144788
-30.0,1,7.147817
-30.1,1,7.153465
-30.2,1,7.159658
-30.3,1,7.173701
-30.4,1,7.176028
-30.5,1,7.178784
-30.6,1,7.184288
-30.7,1,7.201353
-30.8,1,7.203293
-30.9,1,7.226484
-31.0,1,7.234019
-31.1,1,7.236643
-31.2,1,7.240394
-31.3,1,7.243392
-31.4,1,7.258064
-31.5,1,7.260401
-31.6,1,7.263079
-31.7,1,7.266192
-31.8,1,7.270222
-31.9,1,7.272668
-32.0,1,7.275475
-32.1,1,7.279031
-32.2,1,7.283234
-32.3,1,7.286316
-32.4,1,7.288629
-32.5,1,7.300451
-32.6,1,7.302394
-32.7,1,7.315105
-32.8,1,7.3179
-32.9,1,7.329462
-33.0,1,7.331926
-33.1,1,7.334167
-33.2,1,7.344654
-33.3,1,7.347656
-33.4,1,7.360485
-33.5,1,7.363256
-33.6,1,7.373836
-190429.58698,1345,16.614012
0.390807,1,16.637243
0.58621,1,16.652472
0.781614,1,16.667227
0.977017,1,16.673461
1.172421,1,16.677369
1.367824,1,16.68378
1.563228,1,16.686261
1.758631,1,16.6898
1.954034,1,16.70612
2.149438,1,16.708821
2.344841,1,16.71179
2.540245,1,16.715331
2.735648,1,16.71807
2.931052,1,16.722279
3.126455,1,16.725173
3.321858,1,16.730847
3.517262,1,16.741033
3.712665,1,16.744686
3.908069,1,16.74736
4.103472,1,16.749507
4.298876,1,16.762606
4.494279,1,16.764933
4.689683,1,16.767876
4.885086,1,16.786991
5.080489,1,16.802017
5.275893,1,16.804964
5.471296,1,16.807536
5.6667,1,16.81932
5.862103,1,16.822068
6.057507,1,16.825943
6.25291,1,16.843221
6.448313,1,19.834766
6.643717,1,19.844293
6.83912,1,19.860312
7.034524,1,19.862957
7.229927,1,19.886255
7.425331,1,19.898912
7.620734,1,19.901894
7.816138,1,19.912269
8.011541,1,19.91473
8.206944,1,19.918924
8.402348,1,19.923447
8.597751,1,19.929174
8.793155,1,19.931883
8.988558,1,19.935727
9.183962,1,19.948458
9.379365,1,19.956398
9.574768,1,19.959335
9.770172,1,19.963166
9.965575,1,19.986852
10.160979,1,19.99096
10.356382,1,20.014535
10.551786,1,20.026069
10.747189,1,20.028198
10.942593,1,20.031046
11.137996,1,20.034166
11.333399,1,20.0365
11.528803,1,20.041685
11.724206,1,20.059756
11.91961,1,20.06244
12.115013,1,20.065145
12.310417,1,20.068704
12.50582,1,20.075409
12.701223,1,20.079499
12.896627,1,20.083484
13.09203,1,20.095461
13.287434,1,20.098042
13.482837,1,20.109389
13.678241,1,20.113308
13.873644,1,20.125185
14.069048,1,20.144305
14.264451,1,20.159838
14.459854,1,20.170117
14.655258,1,20.194103
14.850661,1,20.196664
15.046065,1,20.199546
15.241468,1,20.201868
15.436872,1,20.204277
15.632275,1,20.207142
15.827678,1,20.211987
16.023082,1,20.218171
16.218485,1,20.220834
16.413889,1,20.223702
16.609292,1,20.2343
16.804696,1,20.258376
17.000099,1,20.269613
17.195503,1,20.284266
17.390906,1,20.287206
17.586309,1,20.290432
17.781713,1,20.295348
17.977116,1,20.314047
18.17252,1,20.316414
18.367923,1,20.318917
18.563327,1,20.323499
18.75873,1,20.343343
18.954133,1,20.346185
