r,l,t
2127.586493,536,3.058518
-0.026824,1,3.074024
-0.040235,1,3.075147
-0.053647,1,3.077567
-0.067059,1,3.08191
-0.080471,1,3.087925
-0.093883,1,3.090413
-0.107295,1,3.103142
-0.120706,1,3.104687
-0.134118,1,3.106192
-0.14753,1,3.107664
-0.160942,1,3.109461
-0.174354,1,3.120419
-0.187766,1,3.12152
-0.201177,1,3.127535
-0.214589,1,3.129541
-0.228001,1,3.143892
-0.241413,1,3.14559
-0.254825,1,3.148695
-0.268236,1,3.168597
-0.281648,1,3.170471
-0.29506,1,3.172037
-0.308472,1,3.182459
-0.321884,1,3.184172
-0.335296,1,3.195035
-0.348707,1,3.197222
-0.362119,1,3.198617
-0.375531,1,3.210154
-0.388943,1,3.211288
-0.402355,1,3.217618
-0.415767,1,3.219461
-0.429178,1,3.236083
-0.44259,1,3.237581
-0.456002,1,3.239242
-0.469414,1,3.240882
-0.482826,1,3.242319
-0.496238,1,3.243767
-0.509649,1,3.244873
-0.523061,1,3.246016
-0.536473,1,3.247801
-0.549885,1,3.257944
-0.563297,1,3.259442
-0.576708,1,3.264798
-0.59012,1,3.280852
-0.603532,1,3.283422
-0.616944,1,3.305343
-0.630356,1,3.306855
-0.643768,1,3.310278
-0.657179,1,3.311761
-0.670591,1,3.313219
-0.684003,1,3.317369
-0.697415,1,3.332605
-0.710827,1,3.34667
-0.724239,1,3.357164
-0.73765,1,3.358681
-0.751062,1,3.360119
-0.764474,1,3.362315
-0.777886,1,3.365023
-0.791298,1,3.375325
-0.804709,1,3.386025
-0.818121,1,3.387149
-0.831533,1,3.389842
-0.844945,1,3.392597
-0.858357,1,3.411133
-0.871769,1,3.412629
-0.88518,1,3.41419
-0.898592,1,3.424786
-0.912004,1,3.426691
-0.925416,1,3.42818
-0.938828,1,3.438419
-0.95224,1,3.439575
-0.965651,1,3.441037
-0.979063,1,3.448503
-0.992475,1,3.45137
-1.005887,1,3.454066
-1.019299,1,3.466174
-1.032711,1,3.468063
-1.046122,1,3.48101
-1.059534,1,3.491793
-1.072946,1,3.513698
-1.086358,1,3.51521
-1.09977,1,3.516715
-1.113181,1,3.518196
-1.126593,1,3.520704
-1.140005,1,3.533248
-1.153417,1,3.534392
-1.166829,1,3.535866
-1.180241,1,3.537357
-1.193652,1,3.539353
-1.207064,1,3.541034
-1.220476,1,3.542651
-1.233888,1,3.544322
-1.2473,1,3.549883
-1.260712,1,3.561847
-1.274123,1,3.564314
-1.287535,1,3.576672
-1.300947,1,3.587202
-1.314359,1,3.588696
-1.327771,1,3.590205
-1.341182,1,3.592915
-1.354594,1,3.596691
-1.368006,1,3.598328
-1.381418,1,3.601752
-1.39483,1,3.604796
-1.408242,1,3.61565
-1.421653,1,3.63965
-1.435065,1,3.641538
967.510603,643,6.858424
-0.2,1,6.88119
-0.3,1,6.882685
-0.4,1,6.884346
-0.5,1,6.89165
-0.6,1,6.893998
-0.7,1,6.909007
-0.8,1,6.910529
-0.9,1,6.912027
-1.0,1,6.922379
-1.1,1,6.935606
-1.2,1,6.936729
-1.3,1,6.939532
-1.4,1,6.944759
-1.5,1,6.950317
-1.6,1,6.952537
-1.7,1,6.963311
-1.8,1,6.964439
-1.9,1,6.967553
-2.0,1,6.969237
-2.1,1,6.971061
-2.2,1,6.972925
-2.3,1,6.975091
-2.4,1,6.989911
-2.5,1,6.991942
-2.6,1,7.015582
-2.7,1,7.036522
-2.8,1,7.038293
-2.9,1,7.040634
-3.0,1,7.044377
-3.1,1,7.047807
-3.2,1,7.052844
-3.3,1,7.057036
-3.4,1,7.067677
-3.5,1,7.07208
-3.6,1,7.080324
-3.7,1,7.093583
-3.8,1,7.095287
-3.9,1,7.096753
-4.0,1,7.107534
-4.1,1,7.108663
-4.2,1,7.11337
-4.3,1,7.121011
-4.4,1,7.122896
-4.5,1,7.125083
-4.6,1,7.136051
-4.7,1,7.137546
-4.8,1,7.14065
-4.9,1,7.143967
-5.0,1,7.145429
-5.1,1,7.147098
-5.2,1,7.148548
-5.3,1,7.150955
-5.4,1,7.152421
-5.5,1,7.154622
-5.6,1,7.160015
-5.7,1,7.170186
-5.8,1,7.171836
-5.9,1,7.182215
-6.0,1,7.183696
-6.1,1,7.185307
-6.2,1,7.186793
-6.3,1,7.187885
-6.4,1,7.189374
-6.5,1,7.199435
-6.6,1,7.201857
-6.7,1,7.20523
-6.8,1,7.207948
-6.9,1,7.21014
-7.0,1,7.225354
-7.1,1,7.236035
-7.2,1,7.237153
-7.3,1,7.239939
-7.4,1,7.252285
-7.5,1,7.254157
-7.6,1,7.255611
-7.7,1,7.25745
-7.8,1,7.268363
-7.9,1,7.271263
-8.0,1,7.272367
-8.1,1,7.279718
-8.2,1,7.292307
-8.3,1,7.293838
-8.4,1,7.296994
-8.5,1,7.31685
-8.6,1,7.318751
-8.7,1,7.32945
-8.8,1,7.331117
-8.9,1,7.332782
-9.0,1,7.342883
-9.1,1,7.345046
-9.2,1,7.34612
-9.3,1,7.347533
-9.4,1,7.35899
-9.5,1,7.360135
-9.6,1,7.361946
-9.7,1,7.366821
-9.8,1,7.368639
-9.9,1,7.372591
-10.0,1,7.387054
-10.1,1,7.388896
-10.2,1,7.390791
-10.3,1,7.392222
-10.4,1,7.39452
-10.5,1,7.404955
-10.6,1,7.406092
-10.7,1,7.407541
-0.1,1,7.418537
-0.2,1,7.4287
-0.3,1,7.430386
-0.4,1,7.437655
-0.5,1,7.454313
-0.6,1,7.455818
-0.7,1,7.457977
-0.8,1,7.461636
-0.9,1,7.465217
-1.0,1,7.468117
-1.1,1,7.469761
-1.2,1,7.482799
-1.3,1,7.496756
-1.4,1,7.5072
-1.5,1,7.508723
-1.6,1,7.510172
-1.7,1,7.512352
-1.8,1,7.514957
-1.9,1,7.525448
-2.0,1,7.536062
-2.1,1,7.537213
-2.2,1,7.539753
-2.3,1,7.559284
-2.4,1,7.560752
-2.5,1,7.562222
-2.6,1,7.572706
-2.7,1,7.574516
-2.8,1,7.575976
-2.9,1,7.586099
-3.0,1,7.587812
-3.1,1,7.591479
-3.2,1,7.593495
-3.3,1,7.597649
-3.4,1,7.600685
-3.5,1,7.614273
-3.6,1,7.617176
-3.7,1,7.63867
-3.8,1,7.660685
-3.9,1,7.662329
-4.0,1,7.664134
-4.1,1,7.678118
-4.2,1,7.680173
-4.3,1,7.682385
-4.4,1,7.689339
-4.5,1,7.701286
-4.6,1,7.703683
-4.7,1,7.707255
-4.8,1,7.717123
-4.9,1,7.727491
-5.0,1,7.728962
-5.1,1,7.730448
-5.2,1,7.732784
-5.3,1,7.734261
-5.4,1,7.738028
-5.5,1,7.739847
-5.6,1,7.743135
-5.7,1,7.745646
-5.8,1,7.747865
-5.9,1,7.758015
-6.0,1,7.759139
-6.1,1,7.782219
-6.2,1,7.784244
-6.3,1,7.786435
-6.4,1,7.7886
-6.5,1,7.790244
-6.6,1,7.792768
-6.7,1,7.795125
-6.8,1,7.796776
-6.9,1,7.811557
-7.0,1,7.813215
-7.1,1,7.818573
-7.2,1,7.820578
-7.3,1,7.838173
-7.4,1,7.839702
-7.5,1,7.841334
-7.6,1,7.851729
-7.7,1,7.853544
-7.8,1,7.860871
-7.9,1,7.867133
-8.0,1,7.878167
-8.1,1,7.880375
-8.2,1,7.882582
-8.3,1,7.886191
-8.4,1,7.888882
-8.5,1,7.891071
-8.6,1,7.89395
-8.7,1,7.895764
-8.8,1,7.906462
-8.9,1,7.907965
-9.0,1,7.909593
-9.1,1,7.911075
-9.2,1,7.912558
-9.3,1,7.914557
-9.4,1,7.916021
-9.5,1,7.918708
-9.6,1,7.920376
-9.7,1,7.922384
-9.8,1,7.924219
-9.9,1,7.926918
-10.0,1,7.929115
-10.1,1,7.942646
-10.2,1,7.94415
-10.3,1,7.946344
-10.4,1,7.948853
-10.5,1,7.952297
-10.6,1,7.954159
-10.7,1,7.9567
-0.023874,1,7.959743
-0.047747,1,7.972335
-0.071621,1,7.973985
-0.095495,1,7.984327
-0.119368,1,7.985434
-0.143242,1,7.986541
-0.167116,1,7.990334
-0.190989,1,8.00111
-0.214863,1,8.011585
-0.238737,1,8.01307
-0.26261,1,8.014529
-0.286484,1,8.024549
-0.310358,1,8.026257
-0.334232,1,8.02811
-0.358105,1,8.029616
-0.381979,1,8.031456
-0.405853,1,8.033123
-0.429726,1,8.034621
-0.4536,1,8.037521
-0.477474,1,8.039863
-0.501347,1,8.057167
-0.525221,1,8.058771
-0.549095,1,8.070504
-0.572968,1,8.072158
-0.596842,1,8.094649
-0.620716,1,8.095861
-0.644589,1,8.097493
-0.668463,1,8.099219
-0.692337,1,8.101817
-0.71621,1,8.104348
-0.740084,1,8.110776
-0.763958,1,8.112434
-0.787831,1,8.113569
-0.811705,1,8.124014
-0.835579,1,8.125686
-0.859453,1,8.127534
-0.883326,1,8.132542
-0.9072,1,8.138152
-0.931074,1,8.151738
-0.954947,1,8.153574
-0.978821,1,8.169331
-1.002695,1,8.181142
-1.026568,1,8.185762
-1.050442,1,8.190914
-1.074316,1,8.195389
-1.098189,1,8.208971
-1.122063,1,8.210475
-1.145937,1,8.213792
-1.16981,1,8.215416
-1.193684,1,8.218156
-1.217558,1,8.220189
-1.241431,1,8.222189
-1.265305,1,8.224221
-1.289179,1,8.235938
-1.313052,1,8.237482
-1.336926,1,8.247701
-1.3608,1,8.249207
-1.384673,1,8.250677
-1.408547,1,8.267803
-1.432421,1,8.275936
-1.456295,1,8.282062
-1.480168,1,8.293016
-1.504042,1,8.294167
-1.527916,1,8.297262
-1.551789,1,8.30895
