r,l,t
371.013015,55,0.526135
0.538753,1,0.530832
0.808129,1,0.535385
1.077506,1,0.547011
1.346882,1,0.550268
1.616259,1,0.55152
1.885635,1,0.552807
2.155011,1,0.554952
2.424388,1,0.556075
2.693764,1,0.557661
2.963141,1,0.55852
3.232517,1,0.560149
3.501894,1,0.561364
3.77127,1,0.562535
4.040647,1,0.575123
4.310023,1,0.579952
4.579399,1,0.581789
4.848776,1,0.591866
305.411896,109,1.222243
0.991383,1,1.235031
1.487074,1,1.236311
1.982766,1,1.247402
2.478457,1,1.249156
2.974149,1,1.251651
3.46984,1,1.261338
3.965532,1,1.27307
4.461223,1,1.273973
4.956915,1,1.275206
5.452606,1,1.276964
5.948298,1,1.27871
6.443989,1,1.279983
6.939681,1,1.281163
7.435372,1,1.281984
7.931064,1,1.283206
8.426755,1,1.284895
8.922447,1,1.286239
0.882692,1,1.296965
1.765383,1,1.297846
2.648075,1,1.32153
3.530767,1,1.3225
4.413459,1,1.326072
5.29615,1,1.326871
6.178842,1,1.328658
7.061534,1,1.349976
7.944226,1,1.35341
8.826917,1,1.354462
9.709609,1,1.366771
10.592301,1,1.386786
11.474992,1,1.404589
12.357684,1,1.40601
13.240376,1,1.407944
14.123068,1,1.411418
15.005759,1,1.412565
15.888451,1,1.414685
244.67352,37,1.655691
-4.50102,1,1.658127
-6.75153,1,1.659764
-9.00204,1,1.665003
-11.25255,1,1.667785
-13.50306,1,1.670385
-15.75357,1,1.671199
-18.00408,1,1.671997
-20.254591,1,1.673523
-22.505101,1,1.67433
-24.755611,1,1.684798
-27.006121,1,1.685583
-29.256631,1,1.686381
-31.507141,1,1.691391
-33.757651,1,1.708157
-36.008161,1,1.732098
-38.258671,1,1.749306
-40.509181,1,1.750596
209.780825,37,1.943702
0.452467,1,1.94454
0.678701,1,1.945903
0.904934,1,1.94926
1.131168,1,1.950974
1.357401,1,1.952818
1.583635,1,1.963139
1.809868,1,1.963916
2.036102,1,1.986723
2.262335,1,1.988761
2.488569,1,1.990277
2.714802,1,1.991574
2.941036,1,1.992731
3.16727,1,1.99423
3.393503,1,1.995407
3.619737,1,1.99618
3.84597,1,1.998452
4.072204,1,2.000475
-906.794281,145,2.695818
-3.144115,1,2.698269
-4.716172,1,2.702083
-6.28823,1,2.720871
-7.860287,1,2.721675
-9.432344,1,2.744673
-11.004402,1,2.768379
-12.576459,1,2.791358
-14.148516,1,2.793235
-15.720574,1,2.79405
-17.292631,1,2.794834
-18.864689,1,2.797081
-20.436746,1,2.798399
-22.008803,1,2.79918
-23.580861,1,2.801037
-25.152918,1,2.802716
-26.724975,1,2.803852
-28.297033,1,2.804695
-608.434117,91,3.296692
-1.693339,1,3.299859
-2.540009,1,3.303588
-3.386678,1,3.307587
-4.233348,1,3.308398
-5.080017,1,3.312742
-5.926687,1,3.324073
-6.773356,1,3.324887
-7.620026,1,3.328585
-8.466695,1,3.329416
-9.313365,1,3.338171
-10.160034,1,3.350151
-11.006704,1,3.356442
-11.853373,1,3.362728
-12.700043,1,3.363523
-13.546712,1,3.375493
-14.393382,1,3.377237
-15.240051,1,3.384501
-0.157804,1,3.400274
-0.315608,1,3.420345
-0.473412,1,3.432425
-0.631215,1,3.435017
-0.789019,1,3.445043
-0.946823,1,3.445831
-1.104627,1,3.447005
-1.262431,1,3.447776
-1.420235,1,3.448543
-1.578039,1,3.449847
-1.735843,1,3.450617
-1.893646,1,3.453132
-2.05145,1,3.454275
-2.209254,1,3.455807
-2.367058,1,3.456606
-2.524862,1,3.457756
-2.682666,1,3.459781
-2.84047,1,3.467166
-0.057185,1,3.467946
-0.11437,1,3.478299
-0.171555,1,3.47985
-0.22874,1,3.481548
-0.285925,1,3.489027
-0.34311,1,3.493726
-0.400295,1,3.494519
-0.45748,1,3.4953
-0.514665,1,3.496086
-0.57185,1,3.506651
-0.629035,1,3.517583
-0.68622,1,3.528331
-0.743405,1,3.529136
-0.80059,1,3.529948
-0.857775,1,3.531262
-0.91496,1,3.532082
-0.972144,1,3.532856
-1.029329,1,3.533973
-0.482761,1,3.536131
-0.965523,1,3.537473
-1.448284,1,3.539144
-1.931045,1,3.539914
-2.413807,1,3.54105
-2.896568,1,3.551382
-3.37933,1,3.552176
-3.862091,1,3.557197
-4.344852,1,3.559241
-4.827614,1,3.576751
-5.310375,1,3.58039
-5.793136,1,3.581201
-6.275898,1,3.581987
-6.758659,1,3.601975
-7.24142,1,3.605257
-7.724182,1,3.616886
-8.206943,1,3.617683
-8.689704,1,3.636406
335.079138,37,3.803915
-2.245738,1,3.804737
-3.368607,1,3.805536
-4.491476,1,3.806728
-5.614345,1,3.807517
-6.737214,1,3.808295
-7.860083,1,3.809637
-8.982952,1,3.811366
-10.105822,1,3.824362
-11.228691,1,3.842967
-12.35156,1,3.867567
-13.474429,1,3.883341
-14.597298,1,3.884585
-15.720167,1,3.885391
-16.843036,1,3.88619
-17.965905,1,3.88704
-19.088774,1,3.888204
-20.211643,1,3.889356
156.840024,109,4.458637
0.243259,1,4.460001
0.364889,1,4.461397
0.486518,1,4.462202
0.608148,1,4.463348
0.729777,1,4.464837
0.851407,1,4.479476
0.973036,1,4.480284
1.094666,1,4.482227
1.216295,1,4.483943
1.337925,1,4.494249
1.459554,1,4.495434
1.581184,1,4.506066
1.702813,1,4.506866
1.824443,1,4.508205
1.946072,1,4.509027
2.067702,1,4.531264
2.189331,1,4.554367
-0.483209,1,4.555537
-0.966417,1,4.556343
-1.449626,1,4.558578
-1.932834,1,4.561781
-2.416043,1,4.562566
-2.899252,1,4.56336
-3.38246,1,4.564154
-3.865669,1,4.56622
-4.348877,1,4.56702
-4.832086,1,4.568168
-5.315295,1,4.578179
-5.798503,1,4.579006
-6.281712,1,4.579794
-6.76492,1,4.580927
-7.248129,1,4.582042
-7.731338,1,4.583329
-8.214546,1,4.584091
-8.697755,1,4.58578
109.3552,19,4.659213
0.166196,1,4.660057
0.249294,1,4.660895
0.332392,1,4.672005
0.41549,1,4.673385
0.498588,1,4.684905
0.581686,1,4.688986
0.664783,1,4.690702
0.747881,1,4.692748
0.830979,1,4.696232
0.914077,1,4.698084
0.997175,1,4.698881
1.080273,1,4.709766
1.163371,1,4.711663
1.246469,1,4.712496
1.329567,1,4.713293
1.412665,1,4.714095
1.495763,1,4.714872
-1.118364,1,4.715635
-2.236728,1,4.716758
-3.355092,1,4.717513
-4.473457,1,4.718818
-5.591821,1,4.719938
-6.710185,1,4.72229
-7.828549,1,4.723094
-8.946913,1,4.723855
-10.065277,1,4.72499
-11.183641,1,4.738374
-12.302005,1,4.762496
-13.42037,1,4.764047
-14.538734,1,4.775799
-15.657098,1,4.77714
-16.775462,1,4.778408
-17.893826,1,4.779226
-19.01219,1,4.791195
-20.130554,1,4.801092
-64.137879,109,5.4578
0.722684,1,5.459154
1.084026,1,5.476053
1.445367,1,5.476919
1.806709,1,5.486293
2.168051,1,5.489554
2.529393,1,5.492105
2.890735,1,5.504178
3.252077,1,5.506603
3.613419,1,5.50745
3.97476,1,5.508265
4.336102,1,5.511252
4.697444,1,5.517007
5.058786,1,5.518938
5.420128,1,5.52126
5.78147,1,5.52282
