r,l,t
6059.08422,1519,7.919923
-0.2,1,7.922213
-0.3,1,7.924205
-0.4,1,7.926326
-0.5,1,7.929195
-0.6,1,7.932003
-0.7,1,7.934481
-0.8,1,7.936408
-0.9,1,7.937984
-1.0,1,7.939993
-1.1,1,7.950286
-1.2,1,7.95228
-1.3,1,7.955677
-1.4,1,7.969123
-1.5,1,7.970764
-1.6,1,7.974666
-1.7,1,7.977562
-1.8,1,7.986404
-1.9,1,7.997159
-2.0,1,8.001243
-2.1,1,8.019069
-2.2,1,8.021716
-2.3,1,8.023444
-2.4,1,8.025746
-2.5,1,8.028741
-2.6,1,8.031649
-2.7,1,8.035911
-2.8,1,8.041283
-2.9,1,8.043411
-3.0,1,8.046215
-3.1,1,8.056307
-3.2,1,8.062098
-3.3,1,8.06496
-3.4,1,8.075063
-3.5,1,8.077478
-3.6,1,8.079782
-3.7,1,8.084742
-3.8,1,8.087746
-3.9,1,8.09336
-4.0,1,8.105229
-4.1,1,8.107282
-4.2,1,8.109659
-4.3,1,8.113107
-4.4,1,8.11601
-4.5,1,8.119162
-4.6,1,8.122133
-4.7,1,8.124699
-4.8,1,8.127681
-4.9,1,8.144363
-5.0,1,8.146776
-5.1,1,8.149348
-5.2,1,8.154871
-5.3,1,8.167493
-5.4,1,8.171146
-5.5,1,8.182836
-5.6,1,8.193031
-5.7,1,8.195737
-5.8,1,8.198231
-5.9,1,8.202009
-6.0,1,8.204065
-6.1,1,8.206414
-6.2,1,8.218606
-6.3,1,8.220602
-6.4,1,8.229881
-6.5,1,8.231998
-6.6,1,8.234208
-6.7,1,8.242178
-6.8,1,8.2475
-6.9,1,8.250537
-7.0,1,8.259762
-7.1,1,8.261827
-7.2,1,8.264893
-7.3,1,8.268101
-7.4,1,8.270252
-7.5,1,8.27454
-7.6,1,8.278792
-7.7,1,8.281133
-7.8,1,8.28998
-7.9,1,8.293117
-8.0,1,8.295667
-8.1,1,8.298276
-8.2,1,8.300952
-8.3,1,8.304601
-8.4,1,8.310804
-8.5,1,8.314694
-8.6,1,8.323505
-8.7,1,8.326003
-8.8,1,8.328185
-8.9,1,8.333501
-9.0,1,8.343659
-9.1,1,8.345852
-9.2,1,8.35015
-9.3,1,8.352303
-9.4,1,8.367097
-9.5,1,8.36976
-9.6,1,8.372787
-9.7,1,8.377021
-9.8,1,8.378621
-9.9,1,8.38775
-10.0,1,8.389375
-10.1,1,8.401552
-10.2,1,8.412622
-10.3,1,8.421067
-10.4,1,8.434533
-10.5,1,8.436561
-10.6,1,8.438724
-10.7,1,8.442763
-10.8,1,8.446976
-10.9,1,8.450319
-11.0,1,8.45994
-11.1,1,8.462776
-11.2,1,8.464906
-11.3,1,8.467405
-11.4,1,8.470413
-11.5,1,8.472015
-11.6,1,8.473704
-11.7,1,8.476182
-11.8,1,8.477774
-11.9,1,8.479915
-12.0,1,8.481854
-12.1,1,8.491001
-12.2,1,8.492641
-12.3,1,8.494613
-12.4,1,8.510805
-12.5,1,8.531889
-12.6,1,8.541837
-12.7,1,8.555558
-12.8,1,8.557896
-12.9,1,8.56145
-13.0,1,8.563072
-13.1,1,8.566224
-13.2,1,8.567812
-13.3,1,8.570264
-13.4,1,8.580478
-13.5,1,8.583234
-13.6,1,8.586492
-13.7,1,8.593893
-13.8,1,8.597277
-13.9,1,8.599594
-14.0,1,8.60892
-14.1,1,8.6109
-14.2,1,8.612878
-14.3,1,8.616
-14.4,1,8.619487
-14.5,1,8.62161
-14.6,1,8.624057
-14.7,1,8.636087
-14.8,1,8.641044
-14.9,1,8.64584
-15.0,1,8.649348
-15.1,1,8.659876
-15.2,1,8.667387
-15.3,1,8.677071
-15.4,1,8.68415
-15.5,1,8.700374
-15.6,1,8.702006
-15.7,1,8.703589
-15.8,1,8.705633
-15.9,1,8.707577
-16.0,1,8.71409
-16.1,1,8.716678
-16.2,1,8.719601
-16.3,1,8.721562
-16.4,1,8.730724
-16.5,1,8.732787
-16.6,1,8.737742
-16.7,1,8.741982
-16.8,1,8.751012
-16.9,1,8.753711
-17.0,1,8.755933
-17.1,1,8.75826
-17.2,1,8.76109
-17.3,1,8.763398
-17.4,1,8.765877
-17.5,1,8.768027
-17.6,1,8.771371
-17.7,1,8.774197
-17.8,1,8.777163
-17.9,1,10.610662
-18.0,1,10.620604
-18.1,1,10.623033
-18.2,1,10.633324
-18.3,1,10.652965
-18.4,1,10.654639
-18.5,1,10.656318
-18.6,1,10.657994
-18.7,1,10.659877
-18.8,1,10.662109
-18.9,1,10.68274
-19.0,1,10.686239
-19.1,1,10.68859
-19.2,1,10.694696
-19.3,1,10.697953
-19.4,1,10.708197
-19.5,1,10.709832
-19.6,1,10.713525
-19.7,1,10.715832
-19.8,1,10.718323
-19.9,1,10.724818
-20.0,1,10.729029
-20.1,1,10.731543
-20.2,1,10.733701
-20.3,1,10.743127
-20.4,1,10.747621
-20.5,1,10.750511
-20.6,1,10.752637
-20.7,1,10.755874
-20.8,1,10.764951
-20.9,1,10.767162
-21.0,1,10.786252
-21.1,1,10.788453
-21.2,1,10.791511
-21.3,1,10.794208
-21.4,1,10.796968
-21.5,1,10.800418
-21.6,1,10.802751
-21.7,1,10.808311
-21.8,1,10.810441
-21.9,1,10.8196
-22.0,1,10.823439
-22.1,1,10.829933
-22.2,1,10.832228
