r,l,t
-94858.51056,841,5.254344
-0.2,1,5.256173
-0.3,1,5.257922
-0.4,1,5.259562
-0.5,1,5.268918
-0.6,1,5.270738
-0.7,1,5.276387
-0.8,1,5.29348
-0.9,1,5.295445
-1.0,1,5.305309
-1.1,1,5.306565
-1.2,1,5.307797
-1.3,1,5.319647
-1.4,1,5.329672
-1.5,1,5.336063
-1.6,1,5.337282
-1.7,1,5.354415
-1.8,1,5.362104
-1.9,1,5.365702
-2.0,1,5.374985
-2.1,1,5.376262
-2.2,1,5.389008
-2.3,1,5.398777
-2.4,1,5.400309
-2.5,1,5.401822
-2.6,1,5.403462
-2.7,1,5.405186
-2.8,1,5.414348
-2.9,1,5.435793
-3.0,1,5.437376
-3.1,1,5.439161
-3.2,1,5.44078
-3.3,1,5.442879
-3.4,1,5.452177
-3.5,1,5.4611
-3.6,1,5.478872
-3.7,1,5.482319
-3.8,1,5.484842
-3.9,1,5.487145
-4.0,1,5.493137
-4.1,1,5.503518
-4.2,1,5.505343
-4.3,1,5.515224
-4.4,1,5.516453
-4.5,1,5.518025
-4.6,1,5.519212
-4.7,1,5.528832
-4.8,1,5.530541
-4.9,1,5.531741
-5.0,1,5.532961
-5.1,1,5.534174
-5.2,1,5.543966
-5.3,1,5.562268
-5.4,1,5.563807
-5.5,1,5.572896
-5.6,1,5.57412
-5.7,1,5.577737
-5.8,1,5.582527
-5.9,1,5.590363
-6.0,1,5.591954
-6.1,1,5.601397
-6.2,1,5.603193
-6.3,1,5.604989
-6.4,1,5.60732
-6.5,1,5.608813
-6.6,1,5.617975
-6.7,1,5.620825
-6.8,1,5.634208
-6.9,1,5.643517
-7.0,1,5.645127
-7.1,1,5.654826
-7.2,1,5.664414
-7.3,1,5.665669
-7.4,1,5.668672
-7.5,1,5.669876
-7.6,1,5.671095
-7.7,1,5.687602
-7.8,1,5.704796
-7.9,1,5.706037
-8.0,1,5.709234
-8.1,1,5.711512
-8.2,1,5.713251
-8.3,1,5.715192
-8.4,1,5.717498
-8.5,1,5.719075
-8.6,1,5.720668
-8.7,1,5.722416
-8.8,1,5.727353
-8.9,1,5.737097
-9.0,1,5.738702
-9.1,1,5.749846
-9.2,1,5.751616
-9.3,1,5.753312
-9.4,1,5.754505
-9.5,1,5.763671
-9.6,1,5.764907
-9.7,1,5.766136
-9.8,1,5.770341
-9.9,1,5.773212
-10.0,1,5.790665
-10.1,1,5.794169
-10.2,1,5.795936
-10.3,1,5.812584
-10.4,1,5.8185
-10.5,1,5.820082
-10.6,1,5.82238
-10.7,1,5.823595
-10.8,1,5.825419
-10.9,1,5.837745
-11.0,1,5.848557
-11.1,1,5.85037
-11.2,1,5.861133
-11.3,1,5.872651
-11.4,1,5.8739
-11.5,1,5.879695
-11.6,1,5.894358
-11.7,1,5.89668
-11.8,1,5.898476
-11.9,1,5.902077
-12.0,1,5.904356
-12.1,1,5.919121
-12.2,1,5.920715
-12.3,1,5.922311
-12.4,1,5.924208
-12.5,1,5.92633
-12.6,1,5.93547
-12.7,1,5.937053
-12.8,1,5.939902
-12.9,1,5.942195
-13.0,1,5.943733
-13.1,1,5.945507
-13.2,1,5.947765
-13.3,1,5.960715
-13.4,1,5.962491
-13.5,1,5.964089
-13.6,1,5.965752
-13.7,1,5.967359
-13.8,1,5.968557
-13.9,1,5.969783
-14.0,1,5.971692
-0.1,1,5.981969
-0.2,1,5.984699
-0.3,1,5.987026
-0.4,1,5.988962
-0.5,1,5.990719
-0.6,1,5.997019
-0.7,1,6.010175
-0.8,1,6.016946
-0.9,1,6.021372
-1.0,1,6.031145
-1.1,1,6.032784
-1.2,1,6.034389
-1.3,1,6.048328
-1.4,1,6.057396
-1.5,1,6.067385
-1.6,1,6.069526
-1.7,1,6.071015
-1.8,1,6.072657
-1.9,1,6.074605
-2.0,1,6.075753
-2.1,1,6.085563
-2.2,1,6.094824
-2.3,1,6.096422
-2.4,1,6.098611
-2.5,1,6.100733
-2.6,1,6.105347
-2.7,1,6.107609
-2.8,1,6.110623
-2.9,1,6.122079
-3.0,1,6.124126
-3.1,1,6.126607
-3.2,1,6.129103
