r,l,t
22538.838393,1581,11.231889
-0.2,1,11.24209
-0.3,1,11.245177
-0.4,1,11.248626
-0.5,1,11.253006
-0.6,1,11.262444
-0.7,1,11.268748
-0.8,1,11.274586
-0.9,1,11.278802
-1.0,1,11.281335
-1.1,1,11.292603
-1.2,1,11.313397
-1.3,1,11.315759
-1.4,1,11.320519
-1.5,1,11.325
-1.6,1,11.328639
-1.7,1,11.338499
-1.8,1,11.342193
-1.9,1,11.345101
-2.0,1,11.347327
-2.1,1,11.349994
-2.2,1,11.353226
-2.3,1,11.355408
-2.4,1,11.358306
-2.5,1,11.367502
-2.6,1,11.369389
-2.7,1,11.371618
-2.8,1,11.374033
-2.9,1,11.376978
-3.0,1,11.391903
-3.1,1,11.396195
-3.2,1,11.398441
-3.3,1,11.416453
-3.4,1,11.427181
-3.5,1,11.440952
-3.6,1,11.443884
-3.7,1,11.44743
-3.8,1,11.449691
-3.9,1,11.45152
-4.0,1,11.454473
-4.1,1,11.456297
-4.2,1,11.467522
-4.3,1,11.470686
-4.4,1,11.47414
-4.5,1,11.481937
-4.6,1,11.485537
-4.7,1,11.495903
-4.8,1,11.498143
-4.9,1,11.500697
-5.0,1,11.504162
-5.1,1,11.506026
-5.2,1,11.508221
-5.3,1,11.511619
-5.4,1,11.513858
-5.5,1,11.516917
-5.6,1,11.519799
-5.7,1,11.521638
-5.8,1,11.524204
-5.9,1,11.534547
-6.0,1,11.543974
-6.1,1,11.556429
-6.2,1,11.562118
-6.3,1,11.56452
-6.4,1,11.567816
-6.5,1,11.577759
-6.6,1,11.585108
-6.7,1,11.601757
-6.8,1,11.604728
-6.9,1,11.611477
-7.0,1,11.614301
-7.1,1,11.617345
-7.2,1,11.619542
-7.3,1,11.628912
-7.4,1,11.631178
-7.5,1,11.634084
-7.6,1,11.63681
-7.7,1,11.640111
-7.8,1,11.641936
-7.9,1,11.64498
-8.0,1,11.647361
-8.1,1,11.649706
-8.2,1,11.651906
-8.3,1,11.661106
-8.4,1,11.663878
-8.5,1,11.666379
-8.6,1,11.668957
-8.7,1,11.672079
-8.8,1,11.67391
-8.9,1,11.676269
-9.0,1,11.678998
-9.1,1,11.68147
-9.2,1,11.685055
-9.3,1,11.688577
-9.4,1,11.692337
-9.5,1,11.703975
-9.6,1,11.70658
-9.7,1,11.708566
-9.8,1,11.718707
-9.9,1,11.738573
-10.0,1,11.741017
-10.1,1,11.743406
-10.2,1,11.746152
-10.3,1,11.766431
-10.4,1,11.770152
-10.5,1,11.772712
-10.6,1,11.789882
-10.7,1,11.792312
-10.8,1,11.796473
-10.9,1,11.799398
-11.0,1,11.809752
-11.1,1,11.819607
-11.2,1,11.82326
-11.3,1,11.825966
-11.4,1,11.82895
-11.5,1,11.831578
-11.6,1,11.842286
-11.7,1,11.844687
-11.8,1,11.84954
-11.9,1,11.866282
-12.0,1,11.868811
-12.1,1,11.873667
-12.2,1,11.878817
-12.3,1,11.881379
-12.4,1,11.886365
-12.5,1,11.888728
-12.6,1,11.898065
-12.7,1,11.900076
-12.8,1,11.903887
-12.9,1,11.910806
-13.0,1,11.913367
-13.1,1,11.922422
-13.2,1,11.924977
-13.3,1,11.927785
-13.4,1,11.930343
-13.5,1,11.932589
-13.6,1,11.942147
-13.7,1,11.944024
-13.8,1,11.94587
-13.9,1,11.949773
-14.0,1,11.952177
-14.1,1,11.959625
-14.2,1,11.973171
-14.3,1,11.976139
-14.4,1,11.980985
-14.5,1,11.997393
-14.6,1,12.019766
-14.7,1,12.021662
-14.8,1,12.030141
-14.9,1,12.045351
-15.0,1,12.048541
-15.1,1,12.05191
-15.2,1,12.069237
-15.3,1,12.071467
-15.4,1,12.073989
-15.5,1,12.077383
-15.6,1,12.079245
-15.7,1,12.081745
-15.8,1,12.083912
-15.9,1,12.086116
-16.0,1,12.088285
-16.1,1,12.099701
-16.2,1,12.102946
-16.3,1,12.105821
-16.4,1,12.112903
-16.5,1,12.123711
-16.6,1,12.126509
-16.7,1,12.128921
-16.8,1,12.13112
-16.9,1,12.133982
-17.0,1,12.137557
-17.1,1,12.139716
-17.2,1,12.145643
-17.3,1,12.154813
-17.4,1,12.158994
-17.5,1,12.161867
-17.6,1,12.178215
-17.7,1,12.182012
-17.8,1,12.197823
-17.9,1,12.220575
-18.0,1,12.223007
-18.1,1,12.225556
-18.2,1,12.227922
-18.3,1,12.24399
-18.4,1,12.246408
-18.5,1,12.248968
-18.6,1,12.252992
-18.7,1,12.256718
-18.8,1,12.259778
-18.9,1,12.262891
