r,l,t
-37888.593732,577,5.176536
1.64997,1,5.180901
2.474955,1,5.183329
3.29994,1,5.185154
4.124925,1,5.186672
4.94991,1,5.188523
5.774895,1,5.198384
6.599881,1,5.205168
7.424866,1,5.216776
8.249851,1,5.21789
9.074836,1,5.225015
9.899821,1,5.241468
10.724806,1,5.243173
11.549791,1,5.253593
12.374776,1,5.265588
13.199761,1,5.270887
14.024746,1,5.279141
14.849731,1,5.291005
15.674716,1,5.309924
16.499701,1,5.316658
17.324686,1,5.333821
18.149672,1,5.356992
18.974657,1,5.365405
19.799642,1,5.368419
20.624627,1,5.369915
21.449612,1,5.371335
22.274597,1,5.372904
23.099582,1,5.382629
23.924567,1,5.385493
24.749552,1,5.386592
25.574537,1,5.389804
26.399522,1,5.392677
27.224507,1,5.405885
28.049492,1,5.419329
28.874477,1,5.429013
29.699462,1,5.430129
30.524448,1,5.433086
31.349433,1,5.453815
32.174418,1,5.469357
32.999403,1,5.470995
33.824388,1,5.483501
34.649373,1,5.48462
35.474358,1,5.494376
36.299343,1,5.506744
37.124328,1,5.516628
37.949313,1,5.518891
38.774298,1,5.538752
39.599283,1,5.539839
40.424268,1,5.542217
41.249253,1,5.563375
42.074239,1,5.575062
42.899224,1,5.587284
43.724209,1,5.589707
44.549194,1,5.593426
45.374179,1,5.600352
46.199164,1,5.603028
47.024149,1,5.61297
47.849134,1,5.623828
48.674119,1,5.634514
49.499104,1,5.63598
50.324089,1,5.637453
51.149074,1,5.642937
51.974059,1,5.646161
52.799044,1,5.64903
53.624029,1,5.663108
54.449015,1,5.666208
55.274,1,5.685573
56.098985,1,5.68825
56.92397,1,5.690306
57.748955,1,5.700343
58.57394,1,5.711588
59.398925,1,5.713217
60.22391,1,5.728655
61.048895,1,5.730683
61.87388,1,5.734635
62.698865,1,5.753412
63.52385,1,5.774802
64.348835,1,5.77646
65.17382,1,5.79117
65.998806,1,5.79227
66.823791,1,5.814689
67.648776,1,5.815784
68.473761,1,5.817272
69.298746,1,5.819637
70.123731,1,5.82079
70.948716,1,5.841733
71.773701,1,5.864674
72.598686,1,5.867011
73.423671,1,5.868683
74.248656,1,5.872236
75.073641,1,5.873698
75.898626,1,5.876524
76.723611,1,5.878696
77.548597,1,5.880829
78.373582,1,5.885884
79.198567,1,5.8954
7362.036112,97,6.681949
